h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.8224921814102509,0.1827739247059191,4.5000520874825565,6.793681338918557e-06,0.521829075269014,1.1231552875514879,269
1,1.5959599972056817,0.3407429134938239,4.683765777669237,2.8165183736940983e-06,1.0354379045083415,2.156482089903022,268
2,1.847899070366436,0.49283644532485765,3.7495178936054057,0.00017717485516233357,1.0371831178070452,2.6586150229258267,267
3,1.8230860905332054,0.5175891424915963,3.5222649411792974,0.0004278762974089219,0.9716519511345295,2.6745202299318813,266
4,1.6634408461104306,0.515237439503635,3.228493736233419,0.0012444398414572916,0.815875258126951,2.5110064340939102,265
5,1.5431949656612676,0.5077632916831375,3.0392015156233008,0.002372061284648928,0.7079243508425064,2.3784655804800288,264
6,1.3300141624433552,0.5275919760336633,2.5209143104149354,0.011705035232025048,0.46212536186797915,2.1979029630187314,263
7,1.1803518391808494,0.6241168900946191,1.8912352123684755,0.058592952810218986,0.15367955497520103,2.207024123386498,262
8,1.4402031606323582,0.6735792736004219,2.138134614704178,0.03250581926521436,0.33216525555966414,2.548241065705052,261
9,1.5164706817286793,0.7399699769777269,2.0493678512774647,0.040426158419644226,0.29922006960031844,2.73372129385704,260
10,1.4504701945886758,0.7668996408622952,1.8913429049957304,0.05857858482299499,0.18892028537020011,2.712020103807151,259
11,1.0443369852956956,0.7893319328209293,1.3230644065842168,0.1858139601371368,-0.25411404419473316,2.3427880147861244,258
12,0.841330054142962,0.8096729243722427,1.0390986641862376,0.2987588521544937,-0.49058190644937727,2.173242014735301,257
13,0.5929745292942863,0.7876846122919258,0.7528070499802052,0.4515658696922721,-0.7027666579259315,1.888715716514504,256
14,0.6157525408575553,0.7592594780049288,0.8109909177235956,0.41737088646859477,-0.6332293004605525,1.864734382175663,255
15,0.8095020512339088,0.8056798575675106,1.0047440601009168,0.31502010634177713,-0.5158413144646461,2.134845416932464,254
16,0.8184013741079424,0.750301140303171,1.0907638681946485,0.27537679902837064,-0.41584400169077373,2.0526467499066587,253
17,0.930229423192735,0.71178054255972,1.3069048218815096,0.19124503827811967,-0.2406495693180044,2.1011084157034743,252
18,0.8636836393994126,0.6689774308882012,1.2910504891812271,0.19668617062182947,-0.23678423441167828,1.9641515132105036,251
19,0.14854912718964253,0.6909920343912103,0.21497950742734662,0.8297832957301334,-0.9881327693838983,1.2852310237631834,250
20,-0.2003467491535445,0.7749992750327691,-0.258512176214711,0.7960116529587473,-1.4752205565824497,1.0745270582753608,249
21,-0.3472029708515665,0.8404557284465689,-0.4131127424085843,0.6795240139994523,-1.7297526441461724,1.0353467024430394,248
22,-0.17933324197898706,0.7650050541692528,-0.2344209897720632,0.81465816508812,-1.437766556087408,1.079100072129434,247
23,-0.15844085307018746,0.751820094959137,-0.21074304096487212,0.8330877869294766,-1.395184909277968,1.078303203137593,246
24,-0.41688742526833467,0.7754705860748863,-0.5375928278317398,0.5908581828283783,-1.6925365393615226,0.8587616888248534,245
