modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags,bloco
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,3,3,1.7686070273689514,0.49359497657506585,3.5831139118166893,0.0003395224556070886,0.9567155399044274,2.5804985148334754,True,266,0.36175732061217536,4,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,6,3,1.9904518742919308,0.7345728553273725,2.709672512204196,0.006734967066077235,0.7821870489466032,3.1987166996372585,True,263,0.40168194720615724,7,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,12,3,1.8476433167727806,0.705540358370315,2.61876346952078,0.008824911403521263,0.6871326993467264,3.008153934198835,True,257,0.5053244877983831,13,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,24,3,1.1059036870740466,0.818903993123925,1.350468060187722,0.1768658922044133,-0.241073516140885,2.452880890288978,False,245,0.6077226162493156,25,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina,dln_petroleo_brl,dln_gasolina,3,3,1.18891692784381,0.4952276663931218,2.4007481983044614,0.01636159082265909,0.3743399046103699,2.0034939510772505,True,266,0.2665565764281679,4,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina,dln_petroleo_brl,dln_gasolina,6,3,0.7197397761807752,0.5007654213754615,1.4372793037583402,0.15063864712187192,-0.10394604342053493,1.5434255957820855,False,263,0.22427164640353314,7,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina,dln_petroleo_brl,dln_gasolina,12,3,0.06872108495270646,0.6907685035450117,0.09948497159327772,0.920753219633524,-1.067491993487147,1.2049341633925599,False,257,0.2799177273279134,13,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina,dln_petroleo_brl,dln_gasolina,24,3,-0.5465491555906741,0.6476378571712782,-0.8439116854253478,0.3987187578398652,-1.6118186339099305,0.5187203227285824,False,245,0.40219522060129265,25,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_etanol,dln_petroleo_brl,dln_etanol,3,3,1.5253078385071956,0.687061103737054,2.2200468491241327,0.02641558758983087,0.39519289008802083,2.6554227869263705,True,266,0.3681446884688815,4,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_etanol,dln_petroleo_brl,dln_etanol,6,3,1.9517125204863426,0.8059286695950368,2.4216938720731194,0.015448358229952275,0.6260778252387715,3.2773472157339136,True,263,0.3186833472965709,7,A_brent_brl_para_combustiveis
