modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags
robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,3,6,1.897115287318813,0.5483621037090356,3.459603197389137,0.0005409719375288891,0.9951398921502665,2.7990906824873596,True,263,0.38992215116492135,4
robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,6,6,2.187993187217401,0.7818394074160039,2.7985199600628548,0.005133739637370072,0.9019818022355974,3.474004572199205,True,260,0.44829264463251195,7
robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,12,6,2.117159435057464,0.7896475651446386,2.6811447644616835,0.0073370768022467114,0.8183047735159061,3.4160140965990218,True,254,0.5476464221050124,13
robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,24,6,1.5807138036329735,0.5979148158562503,2.6437107121510204,0.00820027076395502,0.5972314501637986,2.5641961571021485,True,242,0.6343701190831432,25
robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,3,6,0.1406399494591766,0.05190651098244243,2.7094857041489186,0.006738760914170916,0.05526133660730975,0.22601856231104345,True,263,0.9878364481823758,4
robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,6,6,0.1988370202810117,0.10533818830071924,1.8876062279842158,0.059078833370417305,0.025571119198076503,0.37210292136394685,True,260,0.9804045357209644,7
robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,12,6,0.2734285374579772,0.18424373151386406,1.4840588345194372,0.13779331286984964,-0.029625432565675347,0.5764825074816298,False,254,0.9778433242041714,13
robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,24,6,0.5273328540670738,0.33596881570181325,1.5695886922288178,0.11651083089607828,-0.025286670982644477,1.079952379116792,False,242,0.96725486400773,25
robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,3,6,0.4360464954174752,0.1623081327448087,2.6865350986635743,0.0072197362471759785,0.16907337458845556,0.7030196162464948,True,263,0.4203343716285761,4
robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,6,6,0.370456914403859,0.19856406801046353,1.8656795165192597,0.06208621714638762,0.04384808695460923,0.6970657418531088,True,260,0.4354671762498695,7
