h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.8226518119287618,0.3126235695742781,2.6314452651443574,0.008502256131700659,0.3083860399790743,1.3369175838784493,266,128.4877317962079,5.4545954391455896e-24,2SLS_manual_aproximado
1,1.632307624227463,0.5577049964355996,2.9268298377455046,0.0034243618152108818,0.7148829050909017,2.5497323433640244,265,127.76206614315844,7.204265526323009e-24,2SLS_manual_aproximado
2,1.702237343820288,0.7256173976957685,2.3459158355709513,0.018980392903952124,0.5085967246107488,2.895877963029827,264,127.17354085962637,9.101370725369682e-24,2SLS_manual_aproximado
3,1.2284014937209145,0.7357413199919134,1.6696105823367593,0.09499643531345435,0.018107022334217016,2.4386959651076117,263,126.85769890222551,1.0524856991229288e-23,2SLS_manual_aproximado
4,0.6147181711891211,0.7476707974197563,0.8221775857911525,0.4109758335622956,-0.6152002905663779,1.8446366329446202,262,126.17643998486764,1.3702487314831405e-23,2SLS_manual_aproximado
5,0.5487369855137052,0.7791644801751451,0.7042633480806991,0.48126878702865683,-0.7329885843744084,1.8304625554018188,261,124.39686287202149,2.549314979277956e-23,2SLS_manual_aproximado
6,0.44206297669035655,0.8528810264476842,0.518317283398346,0.604236916083101,-0.960926311816084,1.845052265196797,260,123.26448743983416,3.845397850505025e-23,2SLS_manual_aproximado
7,0.12774930478464888,0.89890146638676,0.14211713915447508,0.88698748049837,-1.3509436074215713,1.6064422169908692,259,121.37135254988206,7.441552998832906e-23,2SLS_manual_aproximado
8,0.10254663493838415,0.905869342398354,0.1132024566223696,0.9098700480861298,-1.3876084333069083,1.5927017031836765,258,121.3925536866771,7.702650225846197e-23,2SLS_manual_aproximado
9,-0.2910219665775718,0.9475807432665534,-0.30712102229340854,0.7587512569862392,-1.849792289251052,1.2677483560959086,257,121.21831340566717,8.500728839406365e-23,2SLS_manual_aproximado
10,-0.6092475279428387,1.0886034089725918,-0.5596597649072564,0.5757115312945114,-2.400000135702752,1.1815050798170748,256,120.53781745809343,1.1068784761867983e-22,2SLS_manual_aproximado
11,-0.9559724377273553,1.2564849261410944,-0.7608308049212572,0.4467581323506964,-3.0228901412294555,1.110945265774745,255,119.60450511638315,1.5655064591057195e-22,2SLS_manual_aproximado
12,-1.535788920357369,1.4015684549497345,-1.0957644736749217,0.2731818593205275,-3.841369028749682,0.7697911880349444,254,118.68447692633143,2.204928086353301e-22,2SLS_manual_aproximado
13,-1.7471898063731774,1.3842834757254598,-1.2621618599163944,0.20689054967622278,-4.024336123941559,0.529956511195204,253,118.33117958579113,2.57977508295926e-22,2SLS_manual_aproximado
14,-1.7116556974252586,1.4178995363770652,-1.2071769921011344,0.22736398911463374,-4.0441004347655305,0.6207890399150136,252,116.19328145507356,5.420013628498471e-22,2SLS_manual_aproximado
15,-1.9350824707450756,1.508650990681779,-1.2826574752525013,0.1996121044044138,-4.416813350416602,0.546648408926451,251,114.65295095783192,9.372697073902603e-22,2SLS_manual_aproximado
16,-1.6884332332014265,1.584503241878742,-1.0655915296200056,0.28660832987497686,-4.2949410660919565,0.918074599689104,250,114.02407575559482,1.2005130146653462e-21,2SLS_manual_aproximado
17,-1.2909858955810831,1.7111369656978004,-0.7544608768676914,0.4505725289694713,-4.105806204153964,1.5238344129917984,249,113.7686200834934,1.3594607772380935e-21,2SLS_manual_aproximado
18,-1.2735568856481607,1.6731865293721178,-0.7611565496681816,0.44656356720489465,-4.025948726465295,1.4788349551689732,248,112.50905845145964,2.1444648134633258e-21,2SLS_manual_aproximado
19,-1.5140056896782896,1.6154031073918484,-0.9372308885320456,0.34863980428798824,-4.17134380133788,1.143332421981301,247,113.30931797003792,1.7143232481959568e-21,2SLS_manual_aproximado
20,-1.4705724044040256,1.6379718969402206,-0.8978007541833275,0.36929178253147976,-4.165036174870688,1.2238913660626372,246,110.78307485912359,4.109024462828273e-21,2SLS_manual_aproximado
21,-1.6280761111525648,1.6178836226841424,-1.00629988976062,0.3142713335018915,-4.289494670467979,1.0333424481628495,245,110.87144594494211,4.151623789292746e-21,2SLS_manual_aproximado
22,-1.438063442790438,1.5085320161117148,-0.953286657115232,0.34044485005030645,-3.9195986092942086,1.0434717237133329,244,111.20335996351628,3.872355646029353e-21,2SLS_manual_aproximado
23,-0.9918123279626883,1.4071624637615134,-0.7048314274326615,0.48091514816158654,-3.306594580850378,1.3229699249250013,243,110.2235831725061,5.5693018146090044e-21,2SLS_manual_aproximado
24,-1.40537563278776,1.4356430121181156,-0.9789171966325391,0.32762089453373466,-3.7670083877220604,0.9562571221465401,242,110.21453419736456,5.814505886754508e-21,2SLS_manual_aproximado
