h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref,tipo,significativo_10pct,coef_iv,se_iv,t_iv,pvalor_iv,first_stage_f,first_stage_pvalue,metodo
6.0,0.070432625703044,0.0693359906940562,1.015816244896921,0.3097168987220444,-0.0436250789886784,0.1844903303947665,260.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,6,LP_direta,False,,,,,,,
12.0,0.0073631598296098,0.1075688732509164,0.0684506549811525,0.945426899510118,-0.1695876366681477,0.1843139563273673,254.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,12,LP_direta,False,,,,,,,
0.0,0.1475146344131568,0.0552998117625093,2.6675431563252574,0.00764080753785,0.0565464440638289,0.2384828247624846,266.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,0,LP_direta,True,,,,,,,
3.0,0.2377275005677359,0.1302133285075407,1.825677166020444,0.0678989046317351,0.0235265751728314,0.4519284259626404,263.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,3,LP_direta,True,,,,,,,
6.0,0.1775497247018371,0.1759413173711209,1.009141726086565,0.3129066691858565,-0.1118737423736568,0.4669731917773311,260.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,6,LP_direta,False,,,,,,,
12.0,-0.0627935771797471,0.2674365325964646,-0.2347980530935783,0.8143654789122462,-0.5027266733009316,0.3771395189414371,254.0,output_petroleo_lp_modelo9\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,12,LP_direta,False,,,,,,,
0.0,,,,,0.6074327650830804,1.3769826184992768,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,0,LP_IV,True,0.9922076917911786,0.2339057305216402,4.241912712349657,2.2162289130995264e-05,128.34596113758963,6.79409209403239e-24,2SLS_manual_aproximado
3.0,,,,,1.2447646670868429,3.46006385117998,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,3,LP_IV,True,2.352414259133411,0.6733432170495856,3.493633260970649,0.0004764951032705,126.74115459841585,1.3005017028042846e-23,2SLS_manual_aproximado
6.0,,,,,0.4236422085587128,4.0168492777409375,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,6,LP_IV,True,2.220245743149825,1.0921602033988524,2.0328938339268534,0.0420632501388904,123.50083378824898,4.222558706905314e-23,2SLS_manual_aproximado
12.0,,,,,0.0212622542341782,4.520324471892094,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,12,LP_IV,True,2.270793363063136,1.3674961147896398,1.6605483105247791,0.0968041975944398,119.26613302231132,2.1578896679538477e-22,2SLS_manual_aproximado
