corte,data_corte,variavel,h,coeficiente_pre,erro_padrao_pre,p_valor_pre,limite_inferior_pre_90,limite_superior_pre_90,coeficiente_pos,erro_padrao_pos,p_valor_pos,limite_inferior_pos_90,limite_superior_pos_90,diferenca_pos_menos_pre,erro_padrao_diferenca,p_valor_wald,estatistica_wald,observacoes
principal_set2016,2016-09-01,diesel,0,0.23577935707464198,0.1951946266071263,0.22707830438660936,-0.08531580369408082,0.5568745178433647,1.2754057848422606,0.23556385568449323,6.154002507365704e-08,0.8879032422412693,1.662908327443252,1.0396264277676186,0.29537902683814304,0.00043214068318265294,12.387832121395002,269
principal_set2016,2016-09-01,diesel,1,0.17051492563262308,0.28446779449068094,0.5488946238203051,-0.29743459630454705,0.6384644475697933,2.7396991384752893,0.42897325490761723,1.695666019438352e-10,2.034038134152259,3.44536014279832,2.569184212842666,0.510595692425954,4.860509106725991e-07,25.31839645810448,268
principal_set2016,2016-09-01,diesel,2,0.2650837508457401,0.38548561116130986,0.4916657456988821,-0.3690400795146146,0.8992075812060948,3.8065516393462357,0.5724402718617166,2.937064831886017e-11,2.8648873921337117,4.74821588655876,3.5414678885004958,0.7113477850194327,6.406826928867059e-07,24.785783361703093,267
principal_set2016,2016-09-01,diesel,3,0.3170099375822963,0.4604246025849519,0.49112758105066323,-0.4403885336699495,1.074408408834542,3.837871383712593,0.7117746452327877,6.968730656669641e-08,2.6670020923046573,5.008740675120529,3.5208614461302967,0.865233585078142,4.716245323029507e-05,16.558886614448596,266
principal_set2016,2016-09-01,diesel,6,0.49581981652438145,0.6917058845034219,0.4734930165268101,-0.6420363634837476,1.6336759965325105,4.235240773853129,1.2224273654159707,0.0005309901080674623,2.2243477577438573,6.246133789962402,3.739420957328748,1.4529847311549549,0.010064266308733813,6.623485873261989,263
principal_set2016,2016-09-01,diesel,12,1.1107517181498203,0.9417465834876895,0.23821535437535257,-0.43842141168742876,2.659924847987069,3.928366988474377,1.4173786151115844,0.005578632069932523,1.5967791666158209,6.259954810332934,2.8176152703245565,1.8424960421397458,0.1262054119891669,2.338569371638622,257
principal_set2016,2016-09-01,etanol,0,0.2616840125906088,0.4144096525911766,0.527738386314974,-0.4200198659218768,0.9433878911030944,0.5794825327865886,0.33892112077558195,0.08730548261026803,0.02195728911075623,1.137007776462421,0.31779852019597976,0.47989573099990535,0.5078276089893976,0.4385407631489931,269
principal_set2016,2016-09-01,etanol,1,0.9270498142470318,0.6817590982640299,0.17389610456547533,-0.19444390239729747,2.048543530891361,2.042292827496959,0.5252430331460514,0.00010095645107844226,1.1782680379717045,2.906317617022214,1.1152430132499274,0.7762139135653958,0.15078257055150357,2.06431598722348,268
principal_set2016,2016-09-01,etanol,2,0.9986982788188953,0.8374641618699431,0.2330548321441217,-0.3789302674571612,2.3763268250949516,2.5823292347172573,0.7304121134048753,0.0004070945048094799,1.3808013081662374,3.783857161268277,1.5836309558983621,1.0260306266407964,0.12272068838074915,2.3822498923556146,267
principal_set2016,2016-09-01,etanol,3,1.1211209817086234,1.039654921201211,0.28087368789116407,-0.5891113636673686,2.8313533270846154,2.555226916225644,0.9064684415849962,0.004819133937810696,1.0640863298183252,4.046367502632963,1.4341059345170206,1.324248927065456,0.2788270775205781,1.1727979724533646,266
principal_set2016,2016-09-01,etanol,6,2.643131106016321,1.1935697588177923,0.026796079486337505,0.6797088527610526,4.606553359271589,2.1644206199992384,1.4476662291635345,0.13488567085217518,-0.21699032697477572,4.545831566973252,-0.47871048601708255,2.018261163835206,0.8125097318617083,0.056258889394819295,263
principal_set2016,2016-09-01,etanol,12,1.003216358904659,1.5889930539730113,0.5278093994863897,-1.6106772148809445,3.6171099326902625,1.808009093023611,1.6907730557505645,0.28491706988121346,-0.9733125836860677,4.58933076973329,0.804792734118952,2.372779456322227,0.7344762307870243,0.11504118498037139,257
