h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
3.0,2.2320457438830705,0.5205178491480718,4.288125272814843,1.801874671373152e-05,1.3757938820344924,3.0882976057316487,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_diesel.csv,3
6.0,2.482717278805726,0.6673155905627082,3.720454480483808,0.0001988645843418,1.3849831323300712,3.580451425281381,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_diesel.csv,6
12.0,2.770504005740217,0.8138798949490296,3.4040698424105003,0.0006638977581424,1.431671578549064,4.109336432931372,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_diesel.csv,12
24.0,1.9105983393908388,1.0667257901492202,1.7910866663527207,0.0732793885020657,0.1558344145953716,3.6653622641863057,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_diesel.csv,24
3.0,2.2625643241630216,0.7811615485638033,2.896410260237254,0.0037745858133799,0.9775535767755652,3.5475750715504777,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_etanol.csv,3
6.0,2.5908590227855623,0.9293434009205488,2.7878381879284038,0.0053061039517044,1.0620891282712597,4.119628917299865,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_etanol.csv,6
12.0,1.580774846713257,1.1674758377029446,1.354010760362711,0.1757329447914628,-0.3397229063080869,3.501272599734601,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_etanol.csv,12
24.0,-0.8490957287063103,1.3189050742416908,-0.6437883554239118,0.519712685784437,-3.018694575833892,1.3205031184212712,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_etanol.csv,24
3.0,1.8937135124457196,0.5376408487351563,3.5222649411792912,0.0004278762974089,1.0092943162763874,2.778132708615052,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina.csv,3
6.0,1.3815396893443126,0.5480311979017258,2.520914310414958,0.0117050352320243,0.4800283687959735,2.2830510098926515,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina.csv,6
12.0,0.8739236727384684,0.8410401272365178,1.0390986641862132,0.298758852154505,-0.5095873365656033,2.25743468204254,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina.csv,12
24.0,-0.433037888061848,0.8055127703402685,-0.5375928278317949,0.5908581828283404,-1.75810639527159,0.8920306191478936,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina.csv,24
3.0,2.013839258008157,0.6785270517505112,2.967957213809993,0.0029978605749293,0.8976622578785656,3.1300162581377475,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina_refinaria.csv,3
6.0,1.548407236153187,0.7242632394581043,2.137906705456582,0.0325243159219077,0.3569942072446057,2.739820265061769,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina_refinaria.csv,6
12.0,1.767701310806315,0.8810243253312102,2.006416009162709,0.0448118816750823,0.3184162956364742,3.216986325976156,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina_refinaria.csv,12
24.0,1.6030677537640408,1.235448031813541,1.2975598426514652,0.1944386289105585,-0.4292442585692342,3.635379766097316,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_acumulada_Petroleo_para_gasolina_refinaria.csv,24
3.0,0.0402910692681358,0.1807932486618773,0.222857156261896,0.8236466821511197,-0.2571138247806525,0.3376959633169241,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_diesel.csv,3
6.0,0.0991293930469524,0.1580955581408744,0.6270219999389302,0.5306448142814653,-0.1609378000947859,0.3591965861886909,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_diesel.csv,6
12.0,-0.0196335526127962,0.2282199285948962,-0.0860290892810108,0.9314432930396558,-0.3950553351514006,0.3557882299258081,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_diesel.csv,12
24.0,-0.5093473789906767,0.2137685192394815,-2.3827052776656177,0.0171859472207216,-0.8609965931396237,-0.1576981648417296,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_diesel.csv,24
3.0,0.0245565410010128,0.3625957525021727,0.0677242930496428,0.9460051106479092,-0.5719134718650613,0.621026553867087,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_etanol.csv,3
6.0,0.5745742123223161,0.266395409119423,2.156847275340015,0.0310175661951702,0.1363537643208652,1.012794660323767,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_etanol.csv,6
12.0,-0.1566767566932297,0.2802098932294455,-0.559140703019138,0.576065697903668,-0.6176220310556676,0.3042685176692081,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_etanol.csv,12
24.0,-0.7856952790243708,0.2872327156039257,-2.7353962008554444,0.0062305233100485,-1.2581930961928285,-0.3131974618559129,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_etanol.csv,24
3.0,-0.0241419347502917,0.1688734078194243,-0.142958770489825,0.8863227430431522,-0.3019386906132448,0.2536548211126613,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina.csv,3
6.0,-0.2209502313785703,0.2156019321689785,-1.0248063602945825,0.3054545647412615,-0.5756154097965401,0.1337149470393993,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina.csv,6
12.0,-0.2111597896345973,0.1946251400523723,-1.0849563914393363,0.277940970099497,-0.5313181450207498,0.1089985657515551,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina.csv,12
24.0,-0.2668609043150124,0.1904277861916826,-1.4013758687841544,0.1611017044613437,-0.5801146126003305,0.0463928039703054,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina.csv,24
3.0,0.0279765697210039,0.1662013752873402,0.1683293515028751,0.8663241841430098,-0.2454246926266707,0.3013778320686786,266.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina_refinaria.csv,3
6.0,-0.1903594517719235,0.1490784519478732,-1.2769078916816536,0.2016347676818575,-0.4355935052261749,0.0548746016823279,263.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina_refinaria.csv,6
12.0,-0.2791513604013094,0.203901012930881,-1.3690533283222923,0.1709826057681186,-0.6145685266726088,0.0562658058699898,257.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina_refinaria.csv,12
24.0,-0.2676386010959182,0.2395477003643268,-1.1172664178736345,0.2638804296866472,-0.6616945681952359,0.1264173660033994,245.0,output_petroleo_lp_modelo3\A_petroleo_para_combustiveis\lp_pontual_Petroleo_para_gasolina_refinaria.csv,24
3.0,0.1279020022964762,0.0742609626854517,1.722331594841191,0.0850094674460649,0.0057427186789081,0.2500612859140443,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_geral.csv,3
6.0,0.130932664824191,0.1251438707568866,1.0462571121725184,0.2954423407787508,-0.0749290025708874,0.3367943322192696,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_geral.csv,6
12.0,0.1273334992758682,0.1523836362494917,0.8356113714689817,0.4033735694008304,-0.1233375823545456,0.3780045809062821,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_geral.csv,12
24.0,-0.0717203111801301,0.1391420062836182,-0.5154468668069943,0.6062407895260524,-0.3006089115166822,0.1571682891564219,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_geral.csv,24
3.0,0.3256666736929635,0.2273753975749484,1.4322863298594823,0.1520618937009096,-0.0483658553178266,0.6996992027037536,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_transporte.csv,3
