modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,0,3,0.6931794714654566,0.16800245791352683,4.126007917230863,3.6911456551713684e-05,0.4168400192296299,0.9695189237012832,True,269,0.4722670778932022,3
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,1,3,1.411261369771299,0.31124963226517854,4.534178432599504,5.782812873889043e-06,0.8993012832526082,1.9232214562899899,True,268,0.43773237852348024,3
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,2,3,1.8204846509723975,0.4310453600061633,4.223417811402419,2.4062514432765525e-05,1.1114781271856566,2.5294911747591384,True,267,0.39429124228690526,3
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,3,3,1.7686070273689514,0.49359497657506585,3.5831139118166893,0.0003395224556070886,0.9567155399044274,2.5804985148334754,True,266,0.36175732061217536,4
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,4,3,1.8905686588941801,0.5382897901880364,3.5121763283560763,0.0004444530123335344,1.0051607451524416,2.7759765726359187,True,265,0.36797019851617296,5
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,5,3,1.8797135049250735,0.6455286410026663,2.9118979167297856,0.003592400187292011,0.817913378470783,2.941513631379364,True,264,0.3795715365622905,6
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,6,3,1.9904518742919308,0.7345728553273725,2.709672512204196,0.006734967066077235,0.7821870489466032,3.1987166996372585,True,263,0.40168194720615724,7
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,7,3,2.014094009112782,0.7245485408910152,2.779791684675737,0.005439377924302491,0.8223177137257989,3.2058703044997654,True,262,0.4308755695025077,8
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,8,3,2.1070737265032444,0.6633738950889797,3.1762988295169774,0.00149167207124834,1.0159207691412107,3.198226683865278,True,261,0.4583601541243886,9
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,9,3,2.110022815346133,0.6852623453293215,3.0791460084270414,0.0020759491352122517,0.9828665612179264,3.23717906947434,True,260,0.47466020436821255,10
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,10,3,2.276607804685339,0.7745613709485927,2.939221977849495,0.0032903732459255153,1.0025677243840418,3.5506478849866365,True,259,0.48895227162523314,11
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,11,3,2.029541140936642,0.7719617603827105,2.6290695279134932,0.008561885376272338,0.7597770395032974,3.2993052423699867,True,258,0.4959396036235416,12
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,12,3,1.8476433167727806,0.705540358370315,2.61876346952078,0.008824911403521263,0.6871326993467264,3.008153934198835,True,257,0.5053244877983831,13
bloco_A_principal_brent_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,13,3,1.5660722508532572,0.665308031279335,2.353905525297543,0.018577331959524157,0.47173792256349945,2.660406579143015,True,256,0.5173866949345625,14
