modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,3,6,1.8220356625500331,0.5434470627332373,3.3527380815827845,0.0008001638903745167,0.9281447903571436,2.7159265347429224,True,263,0.40819711777185363,4
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,6,6,2.1075810840948037,0.8023581186020887,2.6267336682113274,0.00862087796779476,0.7878194225981985,3.427342745591409,True,260,0.47976387532184506,7
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,12,6,1.8179548768214842,0.7079306474260222,2.567984425354968,0.010229175187855821,0.6535125837726876,2.9823971698702807,True,254,0.608279688865312,13
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,24,6,1.384992541892342,0.4941839851606965,2.802584833747651,0.0050694881776862655,0.572132221519438,2.197852862265246,True,242,0.7154009060889133,25
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,3,6,0.13095926823721285,0.0518341523494102,2.526505446726052,0.011520360201931812,0.04569967474533032,0.21621886172909538,True,263,0.9884084879594682,4
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,6,6,0.17679151927376566,0.10757117200129686,1.6434841787503653,0.10028279613150692,-0.00014731314798813178,0.3537303516955195,False,260,0.9811810862250021,7
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,12,6,0.24102215468110297,0.1924552025027418,1.252354581984705,0.2104406881648777,-0.07553848318121195,0.5575827925434179,False,254,0.9786322511913472,13
bloco_E_robustez_6_lags_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,24,6,0.45213936097930413,0.3528479640321012,1.2813999429458791,0.20005322419700144,-0.1282438924213402,1.0325226143799484,False,242,0.9688082776870585,25
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,3,6,0.35313977932767643,0.1584191619833918,2.2291481340161274,0.02580405016439169,0.09256344616068168,0.6137161124946712,True,263,0.4658561741022401,4
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,6,6,0.29123995572195827,0.18954243245132818,1.5365422504891857,0.12440544375834572,-0.020529601756813287,0.6030095132007298,False,260,0.47381524425680965,7
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,12,6,0.1964606388420952,0.2145433881216626,0.9157151873199975,0.3598162972229546,-0.15643183124827892,0.5493531089324692,False,254,0.5516735126864305,13
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,24,6,-0.07900871840719047,0.252506224982011,-0.312898101473812,0.7543580800149785,-0.49434449839667566,0.3363270615822947,False,242,0.5785982964437537,25
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,3,6,0.05494455268259852,0.057651316024112206,0.9530494093078187,0.3405650370899651,-0.039883423578187964,0.149772528943385,False,263,0.6990391223830568,4
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,6,6,-0.011016399424317007,0.07782592606293481,-0.14155179361962839,0.8874340465121924,-0.13902865617979246,0.11699585733115844,False,260,0.6603281516936559,7
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,12,6,-0.07135265230382985,0.09651005059526997,-0.7393287213479804,0.45970741298131745,-0.23009755906272977,0.08739225445507005,False,254,0.5938750075163499,13
bloco_E_robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,24,6,-0.30928264116531795,0.12787395289054948,-2.4186523852128095,0.015578119101486987,-0.51961657636996,-0.09894870596067595,True,242,0.5691216065526701,25
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,3,6,1.014954974935143,0.20213054597593086,5.0212844873827285,5.1327071703966e-07,0.6824798132689518,1.3474301366013341,True,263,0.564436222295366,4
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,6,6,1.130125313942655,0.225129865239178,5.019881803518204,5.170328312154027e-07,0.7598196385688969,1.5004309893164132,True,260,0.547994986996977,7
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,12,6,1.0646636262804754,0.17448560387209525,6.101727607630687,1.0492808844020374e-09,0.7776603479006416,1.3516669046603091,True,254,0.6071998276805224,13
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,24,6,1.0052857463815683,0.24907897632195888,4.0360120361268,5.436742815434492e-05,0.5955872887810344,1.4149842039821023,True,242,0.5816367941718023,25
bloco_E_robustez_6_lags_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,3,6,0.6209555459236047,0.16399808957685225,3.786358411404631,0.0001528711359615187,0.3512026934700068,0.8907083983772026,True,263,0.4938492180403652,4
bloco_E_robustez_6_lags_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,6,6,0.8616360703695765,0.2050922836668377,4.201211547135833,2.6549036222567324e-05,0.5242892837204183,1.1989828570187346,True,260,0.5169086228509789,7
bloco_E_robustez_6_lags_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,12,6,0.797952571622864,0.3003606366182232,2.656648289892629,0.007892173254937296,0.3039032890879264,1.2920018541578018,True,254,0.5661615348669706,13
bloco_E_robustez_6_lags_dln_etanol_para_ipca_transporte_mensal,dln_etanol,ipca_transporte_mensal,24,6,0.7928712896689936,0.27980620804467643,2.8336443826950273,0.004602051332826651,0.33263103352316936,1.2531115458148179,True,242,0.5744003816612029,25
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,3,6,0.07929783991004054,0.04735526766629593,1.6745304971949093,0.09402638589441858,0.0014053561338759069,0.15719032368620517,True,263,0.7015944100811298,4
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,6,6,0.05608729682423012,0.06225571429429541,0.900918051620034,0.36763189255253437,-0.046314240631196296,0.15848883427965654,False,260,0.6602343850301852,7
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,12,6,0.04135352991577334,0.07193275174576734,0.5748915328851806,0.5653646566671959,-0.0769653176898519,0.1596723775213986,False,254,0.5892571334228851,13
bloco_E_robustez_6_lags_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,24,6,0.008978548218163216,0.16532217152844397,0.0543094016679937,0.9566886591619976,-0.26295222523589123,0.2809093216722177,False,242,0.5477358223111375,25
