h,coef,se,t,pvalor,ci_low,ci_high
0,0.16572412041249152,0.04993777182434013,3.318612632446609,0.0009046583023620959,0.083576485761452,0.24787175506353104
1,0.37312950360596936,0.09797012465015281,3.808604969508808,0.00013975301742976372,0.211968648556468,0.5342903586554707
2,0.4575148118491826,0.1477737064696054,3.0960501890320105,0.0019611716345826428,0.2144270647066817,0.7006025589916834
3,0.4611584179715075,0.16072010707065906,2.869326224184032,0.004113472972967884,0.1967738418402733,0.7255429941027416
4,0.43867281646938083,0.17528467995749486,2.502630672433869,0.012327410918604469,0.15032951793930177,0.7270161149994598
5,0.428427181974473,0.18437334117438223,2.323693757706881,0.020141913269204215,0.12513303574261425,0.7317213282063317
6,0.36549490967051257,0.19028047417178867,1.920821940671312,0.05475415940528383,0.05248352965792019,0.6785062896831049
7,0.3528784239357406,0.22403466306278216,1.575106365736145,0.1152318949444719,-0.015658596802536062,0.7214154446740173
8,0.41437620829840754,0.2401355668767141,1.7255928127929037,0.08442069328018156,0.019353200786212832,0.8093992158106023
9,0.47717586520293204,0.2618337351035411,1.8224384455816391,0.06838848558583313,0.04645937095760694,0.9078923594482571
10,0.5311032587384434,0.2785344069278721,1.9067779259169775,0.05654935098394695,0.07291415934209378,0.9892923581347931
11,0.42626460488018825,0.28612414029309174,1.4897890280894976,0.1362797169444008,-0.0444096059019477,0.8969388156623241
12,0.3414470242652117,0.29293970633541433,1.1655880608901026,0.2437810372479824,-0.1404387926565449,0.8233328411869683
