h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.6546773218706813,0.2719832407365476,2.407050228895627,0.016081957826005414,0.20726489085906047,1.1020897528823022,269
1,1.8134118422889822,0.5007110545551731,3.6216732700259633,0.0002927036573452202,0.9897421575457225,2.637081527032242,268
2,2.155281902856124,0.669734326718184,3.2181147312806626,0.0012903619188677307,1.0535689354047113,3.256994870307537,267
3,2.1781803431243656,0.7520275608145207,2.8964102602372437,0.0037745858133800885,0.9410950055844791,3.415265680664252,266
4,1.833441802532443,0.8169958614890901,2.244126180995259,0.024824283890790576,0.4894836103828899,3.177399994681996,265
5,1.9130202634829265,0.8294936180755759,2.3062507315259775,0.021096626356686465,0.5485032617486043,3.2775372652172488,264
6,2.4942310523372786,0.8946828632800646,2.7878381879283896,0.0053061039517047085,1.0224777422415723,3.9659843624329847,263
7,2.522197863440896,0.9681467528106493,2.605181348921168,0.009182564320913841,0.9295964550673779,4.114799271814414,262
8,2.524776348199836,1.0105749417471166,2.4983563750699345,0.012477069073074516,0.8623805690258295,4.187172127373843,261
9,2.7568617812896017,1.0978596915265901,2.5111239647173353,0.012034742710121837,0.950882588728361,4.562840973850842,260
10,2.6333456184948436,1.0613512339348874,2.4811255070876905,0.013096824970901555,0.8874228386719538,4.379268398317733,259
11,1.677875474169404,1.039420540253173,1.614241213436788,0.10647511573247521,-0.0319713145470657,3.3877222628858736,258
12,1.5218186998020127,1.123933977743566,1.3540107603626759,0.17573294479147406,-0.3270526935861533,3.370690093190179,257
13,1.0644203163653476,1.1044976896753365,0.963714389188293,0.33518913820687857,-0.7524783831505808,2.8813190158812763,256
14,0.4866029532190542,1.033229803346303,0.47095326871437687,0.6376741067629749,-1.213060073285614,2.1862659797237227,255
15,0.303036309269021,1.0601624614610576,0.2858395012886921,0.7750010520976066,-1.440930939834419,2.047003558372461,254
16,0.7037535092989096,0.9395282965595141,0.7490498283830354,0.45382717310375487,-0.8417705385414911,2.24927755713931,253
17,1.298595104343802,1.0311547637423248,1.259360039836181,0.20790031604743764,-0.39765448201232245,2.994844690699926,252
18,1.0689045447399304,1.0047516697267298,1.06384948335607,0.2873968906662413,-0.5839119519605402,2.721721041440401,251
19,0.1241879599776941,1.1724828532497824,0.10591878562102729,0.9156467891395629,-1.804546333618198,2.0529222535735863,250
20,0.18058016813944167,1.3068463292198689,0.13818010894000082,0.8900980750504182,-1.9691820434272425,2.330342379706126,249
21,-0.06034449142964704,1.3037286299563138,-0.046286082888023335,0.9630822316675487,-2.204978087707783,2.084289104848489,248
22,0.014797625528034604,1.3691688065476382,0.010807743688922365,0.9913768360486048,-2.2374850612428303,2.267080312298899,247
23,-0.058882606146793304,1.282574660027793,-0.04590969086003721,0.9633822301336753,-2.1687179218925126,2.050952709598926,246
24,-0.8174280863299043,1.2697155508376223,-0.6437883554239001,0.5197126857844445,-2.906110167457793,1.2712539947979846,245
