h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.5198680877083892,0.23615599311185254,2.2013757976582866,0.02770943090863853,0.1313914790393918,0.9083446963773867,266
1,1.2753684831469783,0.4148637607163292,3.0741862845403727,0.0021107758718558302,0.5929175967686168,1.9578193695253399,265
2,1.3532733825567962,0.5092330617700144,2.6574735305933,0.007872877259557296,0.5155849959451225,2.19096176916847,264
3,1.0805574890294019,0.5424795937162589,1.9918859650130578,0.04638357122756154,0.18817855736615596,1.9729364206926476,263
4,0.6532614866231219,0.6002605578648392,1.08829653733507,0.27646421868917836,-0.33416713106453866,1.6406901043107824,262
5,0.8878809376409393,0.6401034016544697,1.38708985977272,0.16541436367759765,-0.16508915808066327,1.940851033362542,261
6,1.237124399051377,0.7275707638089196,1.7003492451715396,0.08906525264357106,0.040270492585704254,2.4339783055170496,260
7,1.172832687024901,0.7600447875960572,1.5431099668934631,0.12280409686757125,-0.0774409885706131,2.4231063626204152,259
8,1.0857185953527935,0.8044412810483992,1.3496554949763588,0.17712651429765636,-0.23758731197182326,2.4090245026774104,258
9,0.7247984220149323,0.8870817857587131,0.817059298985627,0.41389454102433487,-0.7344511155581509,2.1840479595880153,257
10,0.6081269646955754,0.9041986201504212,0.672559049685796,0.5012278613296344,-0.8792797654518676,2.0955336948430183,256
11,0.15468479941202035,0.9618430093916996,0.16082125450997245,0.8722341844551278,-1.4275469510373255,1.7369165498613663,255
12,-0.15886224115674574,1.1297824507939327,-0.1406131251597229,0.8881755788857809,-2.0173543727127647,1.6996298903992735,254
