h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,0.6994989047771981,0.1488759111931481,4.698536513873521,2.620323471309905e-06,0.4545980308644695,0.9443997786899267,LP-OLS (Kilian Controle),
1,1.396699715657807,0.26131390219921113,5.344911632726839,9.04611749961467e-08,0.9668383465401046,1.8265610847755092,LP-OLS (Kilian Controle),
2,1.9017620659555614,0.40020863393752937,4.751926631978702,2.014874886132361e-06,1.2434188631283256,2.560105268782797,LP-OLS (Kilian Controle),
3,1.860792618716163,0.4709835201181453,3.950865665638124,7.7869024999272e-05,1.086024728121814,2.635560509310512,LP-OLS (Kilian Controle),
4,1.926437296998668,0.49391534757379785,3.9003390084185052,9.605808528438143e-05,1.1139465502397705,2.7389280437575656,LP-OLS (Kilian Controle),
5,1.8987290756516322,0.5591467990429287,3.3957613258300285,0.0006843800846233118,0.9789325912260144,2.81852556007725,LP-OLS (Kilian Controle),
6,1.992817098915544,0.6183480634539784,3.2228080213982313,0.0012694060102023629,0.9756345345337496,3.0099996632973385,LP-OLS (Kilian Controle),
7,2.063331155940279,0.611990534458046,3.371508282832318,0.0007475779071162169,1.0566067267567936,3.0700555851237645,LP-OLS (Kilian Controle),
8,2.1940987625033177,0.5838016847158709,3.758294674279946,0.00017107533914609882,1.2337449911457101,3.1544525338609253,LP-OLS (Kilian Controle),
9,2.2348537882076407,0.5879612307106346,3.8010223658905247,0.00014410029287482932,1.2676575636886467,3.2020500127266347,LP-OLS (Kilian Controle),
10,2.284995659965586,0.6561564044897291,3.482394813691639,0.0004969504114818377,1.2056183745799816,3.3643729453511906,LP-OLS (Kilian Controle),
11,1.963167159159366,0.6789200880156435,2.891602699365306,0.003832823002361545,0.8463436143736325,3.0799907039450996,LP-OLS (Kilian Controle),
12,1.845411085526006,0.6825012136698289,2.7038942181555647,0.006853210219528469,0.7226965890391375,2.9681255820128745,LP-OLS (Kilian Controle),
