h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,-1.3283356830650448,6.1533719460254055,-0.21587118326611887,0.8290881599225031,-11.450632534276838,8.793961168146748,0.10890769948906202,LP-IV (Kilian Instrumento)
1,0.4612009028767332,11.967110053316024,0.038539037480392925,0.9692579071813573,-19.224695134828124,20.14709694058159,0.10785456652356573,LP-IV (Kilian Instrumento)
2,9.94483309109366,16.49989042417245,0.6027211596826373,0.5466942026797427,-17.19748665667002,37.087152838857335,0.11193691758821615,LP-IV (Kilian Instrumento)
3,25.614262385564963,24.2643930613695,1.055631695413991,0.29113651440309585,-14.300664200387864,65.52918897151778,0.11026819239059306,LP-IV (Kilian Instrumento)
4,57.805640670413865,42.54809648176608,1.3585952239998886,0.17427488944112413,-12.185978042091335,127.79725938291907,0.05396411356280221,LP-IV (Kilian Instrumento)
5,59.8070370194592,41.201939389959165,1.4515587835177017,0.14662432613184362,-7.970153277023627,127.58422731594203,0.0656745058476348,LP-IV (Kilian Instrumento)
6,66.38003115993934,47.49188625928042,1.3977130914013332,0.1621992413915586,-11.744121736576957,144.50418405645564,0.06250858523339435,LP-IV (Kilian Instrumento)
7,63.114195551918485,45.80142861735601,1.3779962210174808,0.16820445489486147,-12.229154523632147,138.45754562746913,0.06972432148510428,LP-IV (Kilian Instrumento)
8,59.144064442295345,44.245024044022216,1.336739344597239,0.18130773433388314,-13.639000110121202,131.9271289947119,0.07166298804377226,LP-IV (Kilian Instrumento)
9,62.581995515677,49.5848440612966,1.2621194379135965,0.20690581183222057,-18.9850729651559,144.1490639965099,0.05935758099390963,LP-IV (Kilian Instrumento)
10,45.97087256170343,39.14035441706806,1.1745134464509797,0.24018942923762554,-18.41501045437353,110.35675557778039,0.09859258039816689,LP-IV (Kilian Instrumento)
11,54.795251432045156,40.85490153193354,1.3412160934769448,0.17985030270266933,-12.411061587985522,122.00156445207583,0.08798121977908062,LP-IV (Kilian Instrumento)
12,32.74482615859869,33.10154095375709,0.9892236196599812,0.3225537445855543,-21.70720871033172,87.19686102752911,0.11521912989482395,LP-IV (Kilian Instrumento)
