h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,-4.696901075581773,7.453107492273224,-0.6301936582091615,0.5285678879880976,-16.957262900371227,7.563460749207681,0.2098957720190526,LP-IV (Kilian Instrumento)
1,-3.979173766694875,12.314940977126943,-0.32311756703386246,0.7466062066829573,-24.237251674068695,16.278904140678947,0.21028135813542492,LP-IV (Kilian Instrumento)
2,1.0163752614237236,17.002241331763237,0.05977889865172965,0.9523317319521512,-26.9523117293268,28.985062252174252,0.2141246795201693,LP-IV (Kilian Instrumento)
3,1.2180586239738718,20.752333282350474,0.058695020333439374,0.9531950257000257,-32.91952962549266,35.355646873440406,0.2139090548899475,LP-IV (Kilian Instrumento)
4,-0.5966652798858979,32.93397888914676,-0.018117011670355027,0.9855455068283457,-54.773060552532314,53.57972999276052,0.13204234930669384,LP-IV (Kilian Instrumento)
5,0.6661060769165417,34.699634198412085,0.019196342909776953,0.9846844750016123,-56.41479217947134,57.747004333304425,0.14773239396684215,LP-IV (Kilian Instrumento)
6,-1.5880316126325174,35.71855131925982,-0.044459575038146466,0.9645380745402437,-60.34504853281492,57.16898530754988,0.139755785921462,LP-IV (Kilian Instrumento)
7,9.36981710094801,36.74889450315779,0.254968679401849,0.798747290121079,-51.08211435674656,69.82174855864258,0.15325561828953352,LP-IV (Kilian Instrumento)
8,20.801916218381134,39.40700896363622,0.5278735119830233,0.5975871303361557,-44.022613526800455,85.62644596356273,0.15306172725840028,LP-IV (Kilian Instrumento)
9,14.542696250224317,43.98196403018737,0.33065136064053036,0.7409078460640017,-57.8076345794339,86.89302707988253,0.1360551194754115,LP-IV (Kilian Instrumento)
10,-0.3388681522486217,34.20475824808763,-0.009907047136272851,0.9920954493517581,-56.60569547035277,55.927959165855526,0.1921921852869745,LP-IV (Kilian Instrumento)
11,13.046672043908403,30.896469565387793,0.4222706421617867,0.6728274841756834,-37.77802039115452,63.87136447897132,0.18094129206738854,LP-IV (Kilian Instrumento)
12,4.9272698677354825,26.673234602592487,0.18472712219374324,0.8534430718407814,-38.950201053529156,48.80474078900012,0.22098769106324553,LP-IV (Kilian Instrumento)
