h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,0.7060133252873374,0.1768958878139708,3.9911234456156657,6.576103751031585e-05,0.4150195898333554,0.9970070607413194,LP-OLS (Kilian Controle),
1,1.451490392085058,0.3720403410368747,3.9014328070976414,9.562500585723651e-05,0.839484031079399,2.0634967530907167,LP-OLS (Kilian Controle),
2,1.701166930873807,0.534815354021556,3.1808490875997566,0.0014684410263202676,0.8213956735083475,2.5809381882392666,LP-OLS (Kilian Controle),
3,1.5912962533588255,0.5985882708833649,2.6584153595433384,0.007850906813013326,0.6066185477556904,2.575973958961961,LP-OLS (Kilian Controle),
4,1.41304439566768,0.6645462689138933,2.1263295902286843,0.03347582588227084,0.31986578330432525,2.506223008031035,LP-OLS (Kilian Controle),
5,1.2957319002292134,0.7068196767604003,1.8331859494461191,0.06677492266546359,0.13301353195835497,2.458450268500072,LP-OLS (Kilian Controle),
6,1.1498167571897246,0.6825524361060366,1.6845837716870988,0.09206890452144854,0.0270179997952944,2.272615514584155,LP-OLS (Kilian Controle),
7,1.069434897833481,0.6736589105573649,1.587502044541596,0.11239898427635878,-0.03873401003338439,2.177603805700346,LP-OLS (Kilian Controle),
8,1.213880998490526,0.6768827448305567,1.7933401431209413,0.07291855227014335,0.10040888324426045,2.327353113736792,LP-OLS (Kilian Controle),
9,1.5170333275937415,0.6738966809226077,2.2511363693271584,0.024376901533132062,0.40847328747605194,2.6255933677114314,LP-OLS (Kilian Controle),
10,1.5991608793873302,0.7207252629659586,2.2188217363248746,0.02649885463067829,0.4135678218083283,2.7847539369663323,LP-OLS (Kilian Controle),
11,1.4146164370462666,0.7485232483904382,1.8898764201220732,0.05877448985353387,0.18329569344399577,2.6459371806485374,LP-OLS (Kilian Controle),
12,1.0888905866950074,0.7621310996874425,1.4287444602924249,0.15307769398651216,-0.1648150722908357,2.3425962456808502,LP-OLS (Kilian Controle),
