h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,0.40740505738364863,0.27569096829245177,1.4777598987264433,0.1394720554367131,-0.04610658545743451,0.8609167002247318,LP-OLS (Kilian Controle),
1,1.4589234124920505,0.4587292473713843,3.180358394089739,0.0014709300944061269,0.7043138005661232,2.213533024417978,LP-OLS (Kilian Controle),
2,1.7612155426332623,0.6054360392712375,2.9090034758308,0.0036258282875841824,0.7652732580320767,2.757157827234448,LP-OLS (Kilian Controle),
3,1.7946657681602474,0.6761785106336227,2.654130144536138,0.00795131530855875,0.6823521181679382,2.906979418152557,LP-OLS (Kilian Controle),
4,1.4553092845816071,0.7657682386570163,1.9004565756525622,0.057373228448555844,0.1956205319908153,2.714998037172399,LP-OLS (Kilian Controle),
5,1.5853483876642933,0.7813075101564175,2.029096568324176,0.042448455377588595,0.3000975334569864,2.8705992418716004,LP-OLS (Kilian Controle),
6,2.26292012899887,0.8199029462495167,2.759985360889541,0.005780395166131044,0.9141797824184152,3.611660475579325,LP-OLS (Kilian Controle),
7,2.327728345482903,0.938721969105398,2.4796781390992995,0.01315010249207592,0.7835307063045236,3.871925984661283,LP-OLS (Kilian Controle),
8,2.297675019901479,1.0014549143793188,2.294336956073086,0.021771151365968418,0.6502816857474996,3.9450683540554587,LP-OLS (Kilian Controle),
9,2.5741157643374937,1.1108181317079036,2.31731522097118,0.020486566759464964,0.7468199376779923,4.401411590996995,LP-OLS (Kilian Controle),
10,2.4864756162407775,1.0169912120201203,2.444933237231931,0.014487895820867014,0.8135250724676795,4.159426160013876,LP-OLS (Kilian Controle),
11,1.4587364223367207,0.9590139590763305,1.5210794467910513,0.12823990155712323,-0.11884154034384298,3.0363143850172847,LP-OLS (Kilian Controle),
12,1.2458874671246414,1.0008834168690037,1.244787800583276,0.2132097616152946,-0.4005657536248697,2.892340687874152,LP-OLS (Kilian Controle),
