h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,2.5877982417842973,4.9757418912265114,0.5200828938388542,0.6030058005747978,-5.597297169283314,10.772893652851907,0.22194619251506617,LP-IV (Kilian Instrumento)
1,7.107899893865959,7.802737160064733,0.9109495486077595,0.36232195692459956,-5.727602734440527,19.943402522172445,0.22240976447880814,LP-IV (Kilian Instrumento)
2,1.1017515356010463,11.85214512699951,0.09295798556256507,0.9259369393040003,-18.395027198313148,20.59853026951524,0.22678396175209906,LP-IV (Kilian Instrumento)
3,8.841271178957337,14.861048879788754,0.5949291500535737,0.5518908311477463,-15.605154228295165,33.28769658620984,0.2254524177761476,LP-IV (Kilian Instrumento)
4,17.920239498942284,22.01052577529396,0.8141668073670971,0.4155493978366055,-18.287075401416278,54.12755439930085,0.14327434890438395,LP-IV (Kilian Instrumento)
5,22.54778699899355,21.197021939768554,1.0637242846218304,0.2874536199036555,-12.321314091925721,57.416888089912824,0.15643860990774677,LP-IV (Kilian Instrumento)
6,23.537623149326375,22.422187854865115,1.0497469427016346,0.2938344749160984,-13.346875871926738,60.422122170579485,0.14750660819517147,LP-IV (Kilian Instrumento)
7,13.770594899951641,23.52015915055848,0.5854805153231568,0.5582246643186758,-24.92006690271706,52.46125670262034,0.16584995530578686,LP-IV (Kilian Instrumento)
8,15.026386437405364,24.207737527652014,0.6207265929020018,0.5347795292540207,-24.795341795582203,54.84811467039293,0.1686834908815875,LP-IV (Kilian Instrumento)
9,14.062727290817735,26.800356483917117,0.5247216505965796,0.5997767042624417,-30.023859125225925,58.14931370686139,0.15113100385912623,LP-IV (Kilian Instrumento)
10,5.289612018486238,23.078233909780117,0.22920350141024445,0.8187107512864438,-32.67408276310206,43.25330680007453,0.2085930895194055,LP-IV (Kilian Instrumento)
11,9.007356517759964,23.26048528876174,0.3872385466571436,0.6985796157917932,-29.256141782253096,47.27085481777303,0.19490531387259866,LP-IV (Kilian Instrumento)
12,-0.2717809402212704,20.23903588749678,-0.013428551722128748,0.9892858879134369,-33.564994975153475,33.021433094710936,0.2287982440452055,LP-IV (Kilian Instrumento)
