h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,0.4112937568795326,3.3452918770246094,0.12294704677468925,0.9021490302659978,-5.0917113808259495,5.9142988945850155,0.301394848311603,LP-IV (Kilian Instrumento)
1,7.809808556439926,6.145336312970167,1.2708512860324297,0.20378155942464515,-2.299269678395997,17.91888679127585,0.30061717157321244,LP-IV (Kilian Instrumento)
2,7.603475659701537,8.334928208387586,0.9122424896293678,0.361641081234893,-6.107481243096041,21.314432562499114,0.30740524353775756,LP-IV (Kilian Instrumento)
3,15.352946002115697,10.997244224076248,1.3960721149125268,0.16269277997809084,-2.7375207464897287,33.44341275072112,0.3084494154889903,LP-IV (Kilian Instrumento)
4,26.920843882864027,16.485297831424727,1.633021384153993,0.10246449928024913,-0.1974710498296517,54.039158815557705,0.20992540146411007,LP-IV (Kilian Instrumento)
5,39.78702590547033,17.03822233284397,2.3351629722998926,0.019534908658994644,11.759150167942,67.81490164299866,0.21898107470278835,LP-IV (Kilian Instrumento)
6,43.49248520141626,18.636253043244714,2.3337569575007167,0.01960845178246565,12.835848945278702,74.14912145755382,0.20389689347570344,LP-IV (Kilian Instrumento)
7,39.483213339709025,19.067863658626187,2.0706679073534833,0.038389841312246105,8.116577621268945,70.8498490581491,0.2203176573530367,LP-IV (Kilian Instrumento)
8,40.644761778543376,18.778650739343384,2.1644133192907216,0.030432642519171056,9.75388131232351,71.53564224476324,0.22756108113862453,LP-IV (Kilian Instrumento)
9,50.701271642942004,20.763122429538775,2.4418905111695315,0.014610576993148792,16.545935246350716,84.85660803953328,0.20918061350550818,LP-IV (Kilian Instrumento)
10,45.19653332337074,19.440814242965192,2.324827178456553,0.020081203108739617,13.216393893692995,77.17667275304848,0.27044307525205014,LP-IV (Kilian Instrumento)
11,54.2073450468834,21.602384425356657,2.509322303479396,0.012096305873902065,18.671422667171697,89.7432674265951,0.2563696215875821,LP-IV (Kilian Instrumento)
12,47.50486773706118,19.234866703641817,2.469726901100224,0.013521623626885968,15.863512009570393,79.14622346455198,0.2916574166955222,LP-IV (Kilian Instrumento)
