h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,0.6832521850022668,0.15102439215704966,4.524118092736673,6.06478562736292e-06,0.4348170599039201,0.9316873101006136,LP-OLS (Kilian Controle),
1,1.4058854347920322,0.28795334900643765,4.882337502386894,1.0483562236084662e-06,0.9322021756764423,1.8795686939076222,LP-OLS (Kilian Controle),
2,1.602188046754702,0.44681504177605447,3.5857970232741745,0.00033605027055551284,0.8671773030330925,2.337198790476312,LP-OLS (Kilian Controle),
3,1.5335358105399457,0.48393289479419205,3.1689017775742045,0.001530160967306254,0.7374661986034998,2.3296054224763916,LP-OLS (Kilian Controle),
4,1.351807811821314,0.5133036106017014,2.633544327180373,0.008449880513342643,0.5074233723815151,2.1961922512611127,LP-OLS (Kilian Controle),
5,1.2538520468082708,0.5135088311488755,2.4417341450643066,0.014616906263845026,0.4091300195683706,2.098574074048171,LP-OLS (Kilian Controle),
6,1.1252794684312648,0.5005912988568103,2.2479005747823457,0.024582530523291662,0.30180678181181186,1.9487521550507179,LP-OLS (Kilian Controle),
7,0.9351417706037151,0.5936216995099829,1.5753160158660757,0.1151835189554701,-0.04136592509020676,1.9116494662976369,LP-OLS (Kilian Controle),
8,1.144828518869973,0.6424665552488447,1.7819270271999605,0.07476113244814402,0.08797103548562357,2.2016860022543225,LP-OLS (Kilian Controle),
9,1.296727014716632,0.7078291643742937,1.8319773753076591,0.06695479144132166,0.1323480393209191,2.461105990112345,LP-OLS (Kilian Controle),
10,1.270539285601064,0.7356040132361004,1.727205483846742,0.08413076633582087,0.06047068382767895,2.480607887374449,LP-OLS (Kilian Controle),
11,0.875307813377753,0.7466804913264691,1.172265545364362,0.24109046007394674,-0.3529815948542887,2.1035972216097947,LP-OLS (Kilian Controle),
12,0.6744030895794394,0.7337913293866435,0.9190665827888085,0.3580607469173881,-0.5326836472615891,1.8814898264204678,LP-OLS (Kilian Controle),
