h,coef,se,t,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.7060133252873387,0.1768958878139689,3.9911234456157163,6.57610375103018e-05,0.4150195898333599,0.9970070607413175,0.3592973851719597,1.0527292654027178
1,1.451490392085059,0.3720403410368741,3.9014328070976507,9.562500585723304e-05,0.8394840310794011,2.063496753090717,0.7222913236527858,2.1806894605173324
2,1.701166930873809,0.53481535402156,3.180849087599736,0.0014684410263203697,0.8213956735083429,2.5809381882392755,0.6529288369915516,2.749405024756067
3,1.5912962533588326,0.5985882708833685,2.658415359543334,0.007850906813013425,0.6066185477556914,2.575973958961974,0.4180632424274304,2.7645292642902346
4,1.4130443956676768,0.6645462689138901,2.12632959022869,0.03347582588227037,0.31986578330432747,2.506223008031026,0.11053370859645217,2.7155550827389012
5,1.295731900229211,0.7068196767603997,1.8331859494461171,0.06677492266546385,0.13301353195835341,2.4584502685000684,-0.08963466622117244,2.681098466679594
6,1.1498167571897229,0.6825524361060159,1.6845837716871472,0.09206890452143925,0.027017999795326597,2.2726155145841194,-0.18798601757806832,2.487619531957514
7,1.0694348978334804,0.673658910557365,1.587502044541595,0.11239898427635898,-0.03873401003338506,2.177603805700346,-0.25093656685895493,2.389806362525916
8,1.213880998490529,0.6768827448305363,1.7933401431209994,0.07291855227013407,0.10040888324429664,2.3273531137367613,-0.11280918137732221,2.5405711783583804
9,1.5170333275937606,0.673896680922613,2.2511363693271687,0.024376901533131413,0.40847328747606215,2.625593367711459,0.1961958329854392,2.837870822202082
10,1.5991608793873202,0.7207252629659939,2.218821736324752,0.026498854630686613,0.4135678218082601,2.7847539369663803,0.18653936397397208,3.0117823948006683
11,1.4146164370462624,0.7485232483904408,1.8898764201220608,0.05877448985353555,0.18329569344398733,2.6459371806485374,-0.052489129799001555,2.881722003891526
12,1.088890586695005,0.7621310996874215,1.428744460292461,0.15307769398650178,-0.1648150722908035,2.3425962456808134,-0.4048863686923412,2.5826675420823513
