h,coef,ci_low,ci_high
0,0.027555651457620636,0.017092479092164638,0.038018823823076635
1,0.05577696541551165,0.03738612205511323,0.07416780877591007
2,0.07535467701037521,0.040114666021396815,0.1105946879993536
3,0.0702962159211336,0.02904625713210346,0.11154617471016373
4,0.05936993576735253,0.015175209058838686,0.10356466247586638
5,0.05640111365786427,0.017228396631647283,0.09557383068408126
6,0.035820203975946395,-0.007030481924590069,0.07867088987648285
7,0.024473721282425875,-0.033030482117909946,0.0819779246827617
8,0.0359547669136576,-0.022553943599486204,0.0944634774268014
9,0.04447541444473885,-0.014882390640883252,0.10383321953036095
10,0.06612634889458269,0.008645654936208433,0.12360704285295694
11,0.05769320636597776,-0.001654057228882247,0.11704046996083776
12,0.044882042582585685,-0.01656052406944264,0.10632460923461401
13,0.035278975135154586,-0.02477292907158784,0.09533087934189702
14,0.047457300092337146,-0.01645206714124009,0.11136666732591438
15,0.06598073023797353,-0.004814056670037745,0.1367755171459848
16,0.06526292666224842,-0.004070223990574606,0.13459607731507145
17,0.07748504974798875,0.006719274526656882,0.14825082496932063
18,0.06352666931795384,-0.0023989242438738484,0.1294522628797815
19,0.016733676248242138,-0.051594037670925796,0.08506139016741007
20,-0.018474300889468335,-0.09339740120737688,0.05644879942844022
21,-0.026842970364173803,-0.10340215680546022,0.04971621607711262
22,-0.007596260935566338,-0.06861830167027845,0.05342577979914578
23,-0.01103323568207999,-0.06590808176021884,0.04384161039605886
24,-0.04107857397915796,-0.09541794049538413,0.01326079253706821
