h,coef,ci_low,ci_high
0,0.0037082883970009956,-0.005941040508710126,0.013357617302712116
1,0.00788593791950986,-0.011173626531833077,0.026945502370852796
2,0.01281388963154435,-0.012944609011552925,0.03857238827464163
3,0.02017052994831471,-0.01107437610627494,0.051415436002904366
4,0.026456066653882043,-0.007058819088014329,0.05997095239577842
5,0.028818730115253377,-0.009429947953811094,0.06706740818431785
6,0.030675397465669614,-0.011155063965736095,0.07250585889707532
7,0.03418126912436193,-0.008200559088919222,0.07656309733764308
8,0.040062905708661084,-0.000639632993799287,0.08076544441112146
9,0.03934578185332309,-0.002786347916467348,0.08147791162311352
10,0.03458073769347138,-0.00884333769367792,0.07800481308062068
11,0.025265069371908526,-0.01970898731535045,0.0702391260591675
12,0.01811039149504279,-0.03057101145266276,0.06679179444274834
13,0.008418429456101852,-0.04034443778621764,0.05718129669842134
14,0.0047816443882486865,-0.043006351990290355,0.052569640766787724
15,0.007439695232847855,-0.04142581543459923,0.05630520590029494
16,0.010183177264830156,-0.04090047435064065,0.061266828880300966
17,0.019323688199719448,-0.03394366287751125,0.07259103927695015
18,0.010310593007402034,-0.044465123633316214,0.06508630964812027
19,0.00973116059484885,-0.0467005641182895,0.0661628853079872
20,0.006933167019755699,-0.04913930929900599,0.0630056433385174
21,0.006653415262156986,-0.05300701321821123,0.0663138437425252
22,0.00675531742042164,-0.05661423211473969,0.07012486695558297
23,0.006195459724143775,-0.05572351193454697,0.06811443138283452
24,0.0017953533010564504,-0.060363929482668485,0.06395463608478139
