h,coef,ci_low,ci_high
0,0.025327431332605746,-0.002851397156151795,0.05350625982136328
1,0.025028669306909793,-0.01879158830118293,0.06884892691500252
2,0.03877793837116486,-0.02038086770516334,0.09793674444749306
3,0.05875340179763451,-0.010895685689045295,0.1284024892843143
4,0.07891477837217135,0.0006585985870703609,0.15717095815727233
5,0.07918355036982501,-0.007838450526434185,0.16620555126608422
6,0.0857394795480404,-0.008020822890829324,0.17949978198691013
7,0.1074790324248258,0.0041679887024538426,0.21079007614719775
8,0.1383367839373349,0.03484699471387728,0.2418265731607925
9,0.1412043764321038,0.04029629246379578,0.2421124604004118
10,0.138215135997064,0.026985082191485793,0.24944518980264221
11,0.14120304406762998,0.016857186347395817,0.26554890178786417
12,0.13249751953436356,0.0020075238186637034,0.2629875152500634
13,0.11480833417843886,-0.018655231428807872,0.2482718997856856
14,0.1324264122027845,-1.9989679018173057e-05,0.2648728140845872
15,0.15077491537866644,0.021454042456320793,0.2800957883010121
16,0.16292576938340408,0.03809665174070155,0.28775488702610663
17,0.17964907839514216,0.05120443249043785,0.3080937242998465
18,0.163738151037856,0.03532089669153052,0.2921554053841815
19,0.145276268542019,0.018160591395182724,0.2723919456888553
20,0.11814217707055959,-0.0109249392987162,0.2472092934398354
21,0.09959115924400891,-0.029540289553979776,0.2287226080419976
22,0.10096931950127744,-0.0276792981716891,0.22961793717424397
23,0.12435128634371127,0.005601581309119197,0.24310099137830335
24,0.12297450796934976,0.001529472504073981,0.24441954343462555
