h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref,significativo_10pct
18.0,3.037895020333054,0.9569912885884208,3.1744228568830586,0.0015013479327493,1.463644350605102,4.612145690061007,251.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_brl_para_gasolina_refinaria.csv,18,True
24.0,1.543280176680509,1.1893710994684792,1.297559842651456,0.1944386289105617,-0.4132352819451392,3.4997956353061577,245.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_brl_para_gasolina_refinaria.csv,24,False
0.0,0.8166903137478589,0.1599645486925959,5.105445677950141,3.300157840938056e-07,0.5535486311485386,1.0798319963471794,269.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,0,True
3.0,2.2320457438830705,0.5205178491480718,4.288125272814843,1.801874671373152e-05,1.3757938820344924,3.0882976057316487,266.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,3,True
6.0,2.482717278805726,0.6673155905627082,3.720454480483808,0.0001988645843418,1.3849831323300712,3.580451425281381,263.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,6,True
12.0,2.770504005740217,0.8138798949490296,3.4040698424105003,0.0006638977581424,1.431671578549064,4.109336432931372,257.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,12,True
18.0,3.315218629997,0.9687888797064316,3.4220238273189074,0.0006215686625768,1.7215609228799198,4.90887633711408,251.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,18,True
24.0,1.9105983393908388,1.0667257901492202,1.7910866663527207,0.0732793885020657,0.1558344145953716,3.6653622641863057,245.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_diesel.csv,24,True
0.0,0.6800399043995113,0.2825200306316501,2.407050228895621,0.0160819578260056,0.2152944540104469,1.1447853547885758,269.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,0,True
3.0,2.2625643241630216,0.7811615485638033,2.896410260237254,0.0037745858133799,0.9775535767755652,3.5475750715504777,266.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,3,True
6.0,2.5908590227855623,0.9293434009205488,2.7878381879284038,0.0053061039517044,1.0620891282712597,4.119628917299865,263.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,6,True
12.0,1.580774846713257,1.1674758377029446,1.354010760362711,0.1757329447914628,-0.3397229063080869,3.501272599734601,257.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,12,False
18.0,1.110314532264671,1.0436763373349205,1.063849483356032,0.2873968906662586,-0.6065330426512732,2.827162107180615,251.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,18,False
24.0,-0.8490957287063103,1.3189050742416908,-0.6437883554239118,0.519712685784437,-3.018694575833892,1.3205031184212712,245.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_etanol.csv,24,False
0.0,0.854356009793263,0.1898546934978279,4.500052087482564,6.793681338918327e-06,0.542045038989336,1.16666698059719,269.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,0,True
3.0,1.8937135124457196,0.5376408487351563,3.5222649411792912,0.0004278762974089,1.0092943162763874,2.778132708615052,266.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,3,True
6.0,1.3815396893443126,0.5480311979017258,2.520914310414958,0.0117050352320243,0.4800283687959735,2.2830510098926515,263.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,6,True
