h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref,tipo,significativo_10pct,coef_iv,se_iv,t_iv,pvalor_iv,first_stage_f,first_stage_pvalue,metodo
12.0,-0.903926336601016,0.7565425699694487,-1.1948122584001044,0.2321603898255,-2.148438864200759,0.340586190998727,254.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina.csv,12,LP_direta,False,,,,,,,
18.0,-0.7445062403846655,0.9035012898742664,-0.8240234394001507,0.4099262397899246,-2.230765862227834,0.7417533814585028,248.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina.csv,18,LP_direta,False,,,,,,,
24.0,-0.7779634053342388,0.761922073064601,-1.0210537702433484,0.3072289641373336,-2.0313252155255075,0.4753984048570299,242.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina.csv,24,LP_direta,False,,,,,,,
0.0,0.1862210664205925,0.145281371647631,1.2817958992860945,0.1999142530982244,-0.0527667899397605,0.4252089227809457,266.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,0,LP_direta,False,,,,,,,
3.0,0.4799381571616168,0.4390370978981872,1.093160827317865,0.274323192875854,-0.242277868880901,1.2021541832041347,263.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,3,LP_direta,False,,,,,,,
6.0,-0.1001271362821613,0.5827685489212577,-0.1718128688782247,0.8635846480732058,-1.0587813992576305,0.8585271266933077,260.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,6,LP_direta,False,,,,,,,
12.0,-0.3316649126301938,0.7500801949892382,-0.4421726034706894,0.658364309428356,-1.565546833387491,0.902217008127103,254.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,12,LP_direta,False,,,,,,,
18.0,0.8208726839232746,1.0032344003169402,0.8182262128012614,0.4132280300742201,-0.8294479045980921,2.471193272444641,248.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,18,LP_direta,False,,,,,,,
24.0,0.4006590710626375,1.2583633834152526,0.3183969561918048,0.7501838468464477,-1.669348694655453,2.4706668367807283,242.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_gasolina_refinaria.csv,24,LP_direta,False,,,,,,,
0.0,0.014307139178377,0.0192480990930314,0.7433014091015786,0.4572992186662349,-0.0173559838296596,0.0459702621864138,266.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,0,LP_direta,False,,,,,,,
3.0,0.0883796460502218,0.0517561911496026,1.7076149555665354,0.0877078115064236,0.0032407116091254,0.1735185804913182,263.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,3,LP_direta,True,,,,,,,
6.0,0.0739962452038629,0.0723143189042801,1.0232585513501011,0.3061856156080781,-0.0449608093936778,0.1929532998014037,260.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,6,LP_direta,False,,,,,,,
12.0,0.0205155919918147,0.11282999615916,0.1818274633535848,0.855718131132855,-0.1650897516900034,0.206120935673633,254.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,12,LP_direta,False,,,,,,,
18.0,-0.0407832623837284,0.1432346447613823,-0.2847304327222661,0.7758506733432096,-0.2764042530162025,0.1948377282487455,248.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,18,LP_direta,False,,,,,,,
24.0,0.0124479942210473,0.1267560183267606,0.0982043644583254,0.921770016882328,-0.1960656559264739,0.2209616443685687,242.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_geral.csv,24,LP_direta,False,,,,,,,
0.0,0.1485663836709226,0.055874082657183,2.6589498494759303,0.0078384629817541,0.0566535176998564,0.2404792496419888,266.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,0,LP_direta,True,,,,,,,
3.0,0.239617311087968,0.1309948482463041,1.82921171554339,0.0673678980532982,0.0241307857227977,0.4551038364531382,263.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,3,LP_direta,True,,,,,,,
6.0,0.1777236311089612,0.1733386091354971,1.0252974337069722,0.3052228663276271,-0.1074183809189316,0.4628656431368541,260.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,6,LP_direta,False,,,,,,,
12.0,-0.0683915499294264,0.2686236490510379,-0.2545998841540276,0.7990321486687274,-0.5102774526183838,0.3734943527595309,254.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,12,LP_direta,False,,,,,,,
18.0,-0.1001827037236531,0.3690256090053185,-0.2714790011286431,0.7860226481535713,-0.7072298305374021,0.5068644230900958,248.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,18,LP_direta,False,,,,,,,
24.0,-0.0787587021141312,0.3315849516508931,-0.2375219433873819,0.8122518978461711,-0.6242159475798503,0.4666985433515879,242.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\A_lp_direta_oil_supply_news\lp_direta_acumulada_oil_supply_news_para_ipca_transporte.csv,24,LP_direta,False,,,,,,,
0.0,,,,,0.6060390630662251,1.3754176208672992,266.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,0,LP_IV,True,0.9907283419667622,0.2338536649851289,4.2365311744409215,2.269994167982169e-05,132.0949694160739,1.7037059166152745e-24,2SLS_manual_aproximado
3.0,,,,,1.2489696107117767,3.4890709504920947,263.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,3,LP_IV,True,2.369020280601936,0.6808818661946255,3.479341128354808,0.0005026483047135,130.3466085272875,3.4148631236445395e-24,2SLS_manual_aproximado
6.0,,,,,0.4459217545528631,4.046878122475789,260.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,6,LP_IV,True,2.246399938514326,1.0945156133504337,2.052414703923544,0.0401293767383359,126.82197712609876,1.2126134188079097e-23,2SLS_manual_aproximado
12.0,,,,,0.0317479441559096,4.65655999777203,254.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,12,LP_IV,True,2.34415397096397,1.4057179494273924,1.6675848607601844,0.0953981656361436,122.58963001208176,6.184203102625548e-23,2SLS_manual_aproximado
18.0,,,,,-0.7569548818094498,4.41335371822222,248.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,18,LP_IV,False,1.8281994182063848,1.5715223708302948,1.163330189973992,0.244695561302809,116.65603643541132,5.493378181763075e-22,2SLS_manual_aproximado
24.0,,,,,-2.3912841351674783,3.134902780218106,242.0,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_diesel.csv,24,LP_IV,False,0.3718093225253137,1.6796920715457704,0.2213556453732312,0.8248155256432421,111.9878610970102,3.2457093930875682e-21,2SLS_manual_aproximado
