h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage,arquivo,h_ref,instrumento_forte_regra_10
24.0,242.0,110.21453419736456,5.8145058867545075e-21,0.5307097731346342,8.793945845741024e-26,0.6178547875841813,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina.csv,24,True
0.0,266.0,129.22848039295238,4.2910652542000236e-24,0.5368659711647022,6.044424566907777e-30,0.6136486071008191,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,0,True
3.0,263.0,127.59651535123272,8.28497226927736e-24,0.5338814969706486,1.3754663833144762e-29,0.6131180243807115,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,3,True
6.0,260.0,123.94403480727289,3.081749193335343e-23,0.5351559073858771,8.665350098038211e-29,0.612427108111409,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,6,True
12.0,254.0,119.2514381361577,1.8316173419198408e-22,0.5324932597659227,9.226118005375243e-28,0.6118802786275954,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,12,True
18.0,248.0,112.21390957953356,2.3643324943898958e-21,0.534719553241011,3.207659590121298e-26,0.6157236845110272,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,18,True
24.0,242.0,108.18193486513674,1.1389925818582612e-20,0.5300090948211073,2.45204439526175e-25,0.615611598253434,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,24,True
0.0,266.0,130.0566072925364,3.283480954800761e-24,0.5368245478066493,3.982566318768654e-30,0.6159540511496296,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,0,True
3.0,263.0,128.04757902909287,7.160617793037126e-24,0.5336206182521742,1.0958421846740937e-29,0.6162704012565067,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,3,True
6.0,260.0,125.34972633364944,1.9521834551160185e-23,0.535272173136113,4.267101778594836e-29,0.6155856553077648,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,6,True
12.0,254.0,120.5636416445132,1.1937413192176305e-22,0.5322541077203123,4.7614512997570595e-28,0.6147613652173898,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,12,True
18.0,248.0,113.8092602509042,1.396524534931434e-21,0.533604024305163,1.434659437893208e-26,0.6196558404562729,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,18,True
24.0,242.0,111.3903120440248,3.948837778616614e-21,0.5301527245010342,4.859621310299023e-26,0.6199043588974992,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,24,True
0.0,266.0,132.4296441720939,1.5302643910281775e-24,0.5361992286098912,1.2050245281823082e-30,0.6173099334596304,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,0,True
3.0,263.0,130.5780588528978,3.1704107033947994e-24,0.5329323063930913,3.0624937120055538e-30,0.6171437339077442,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,3,True
6.0,260.0,126.6447127234412,1.2840292982091121e-23,0.5334962215875003,2.2219410978552667e-29,0.6160701697814004,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,6,True
12.0,254.0,122.33291437737668,6.720169098304703e-23,0.5303306780415492,1.9517907077953759e-28,0.6154736703481962,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,12,True
18.0,248.0,115.45909775519306,8.12408714151919e-22,0.5322400516488655,6.243357009575452e-27,0.619620910131724,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,18,True
24.0,242.0,113.59525593173848,1.91883519841277e-21,0.5295779484687302,1.5981630238289252e-26,0.6205077579640099,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,24,True
