h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,-0.03922953585544155,0.16990528073904299,0.8173997769100682,-0.3187237226711672,0.24026465096028415,1.19928347645344,0.2538978459841122,2.3183343044151226e-06,0.7816215198095753,1.6169454330973045,1.2385130123088814,2.7318308198564734e-05,269
1,-0.22529191443559643,0.3502935586251179,0.5201256394684998,-0.8015248183739154,0.3509409895027225,2.5786460886419604,0.497097138539026,2.1324025352966965e-07,1.7609212957452627,3.396370881538658,2.803938003077557,5.113672954388736e-07,268
2,-0.09195884827385581,0.5343807684922195,0.8633708026089246,-0.9710152124435569,0.7870975158958453,2.999313808021182,0.688286979652696,1.3146635095864942e-05,1.8670817264924968,4.131545889549867,3.091272656295038,3.638830633209462e-05,267
3,0.13692208780425497,0.6639281565782845,0.8366110383258685,-0.955239729767023,1.229083905375533,2.9112317562934895,0.7506565795929672,0.00010521179280205186,1.6764016828630586,4.14606182972392,2.7743096684892343,0.0005096182694964523,266
4,0.11845305031587636,0.7181965794939328,0.8689981054548472,-1.0629803229516432,1.2998864235833958,2.781937570952788,0.7875977848031567,0.00041214786449020194,1.486339214951595,4.07753592695398,2.6634845206369113,0.0009289487304366019,265
5,-0.005845903021779897,0.8006584947264155,0.9941744022535315,-1.3229291268467334,1.3112373208031736,2.65342435102911,0.8153709788470146,0.001136905382452532,1.312139090825771,3.994709611232449,2.65927025405089,0.002472100022325097,264
6,-0.07714376129359243,0.8971085204204482,0.9314731264003553,-1.5528872773852296,1.3985997547980449,2.3477336153317387,0.7669916228969847,0.0022062574506441805,1.0860323956661988,3.6094348349972787,2.4248773766253313,0.009115357768397591,263
7,-0.11336822512448637,0.9481418765312846,0.9048247040104215,-1.6730616120184494,1.4463251617694768,2.2217632723237877,0.7555065376305901,0.0032740828781550684,0.978955017921467,3.4645715267261084,2.335131497448274,0.018643719829193516,262
8,0.1473252510055358,0.9703446364133586,0.8793227879118726,-1.448891675894439,1.7435421779055107,2.450373308949383,0.8123280451945897,0.0025572600314913217,1.1140936746042829,3.7866529432944827,2.303048057943847,0.024657568403652717,261
9,0.3422013952854369,1.019192144184863,0.7370537497026701,-1.334369681898663,2.0187724724695366,2.8109431349363545,0.8670731261391531,0.0011874588026034483,1.3846078424374477,4.237278427435261,2.4687417396509175,0.03156469894951578,260
10,0.43457512420847433,1.068691100966666,0.6842706443110979,-1.3234217368816912,2.19257198529864,2.94956060443196,0.9488213847763373,0.0018793951883309802,1.3887494264748852,4.510371782389035,2.5149854802234857,0.044525034755634976,259
11,0.4709836836042039,1.1166383215464772,0.673180393473163,-1.3658863553397513,2.3078537225481592,2.700342272331215,0.9983147879610683,0.00683248302771479,1.0581144461352576,4.3425700985271725,2.229358588727011,0.08943654079464604,258
12,0.48302479980043206,1.1219696764903908,0.6668210417784001,-1.3626153180262608,2.328664917627125,2.3735018617157246,1.084917787486858,0.028689633491934916,0.5888121012998431,4.158191622131606,1.8904770619152926,0.17550544605130203,257
13,0.8225879352746479,1.1819828971183408,0.48646706392642325,-1.1217739304850227,2.7669498010343183,1.7815777534014134,1.1088234317766255,0.10811402907624851,-0.04243679187113547,3.6055922986739626,0.9589898181267655,0.5173973957890732,256
