h,coef,ci_low,ci_high
0,0.001144814533293916,-0.0027801412774892727,0.005069770344077105
1,0.005663999427723711,-0.0005230316291400805,0.011851030484587502
2,0.007063756299465706,-0.00414066471884307,0.01826817731777448
3,0.006898713619373435,-0.006550828972738655,0.020348256211485526
4,0.005200457674186345,-0.007830872505741052,0.018231787854113744
5,0.009002623225436861,-0.00358508898794295,0.021590335438816673
6,0.004068726199533078,-0.009140845049765471,0.01727829744883163
7,0.002880857214518943,-0.01274274728592889,0.018504461714966777
8,0.0008450299995472463,-0.014440640317797425,0.016130700316891917
9,0.0017653552664862134,-0.013950910198916448,0.017481620731888876
10,0.006685096548972539,-0.01034363759029347,0.023713830688238548
11,0.0059834701336488735,-0.011044084243835704,0.023011024511133453
12,0.0038895070694875554,-0.014918615939434159,0.02269763007840927
13,0.002844454192366484,-0.01931423450283614,0.025003142887569108
14,0.004300730253903491,-0.020810636221251313,0.029412096729058295
15,0.005913223095073278,-0.02163646268592733,0.03346290887607389
16,-0.0011502539686554175,-0.02924643966507589,0.026945931727765056
17,-0.00037131799392801056,-0.02841617502202058,0.027673539034164557
18,-0.007908698185950446,-0.03523993687963815,0.019422540507737264
19,-0.01379297307116619,-0.04141016549841629,0.013824219356083913
20,-0.017234240332831614,-0.04752127153185981,0.013052790866196581
21,-0.022666989472083912,-0.053231694471992046,0.007897715527824221
22,-0.02002963942799773,-0.0492255107028976,0.009166231846902143
23,-0.015850082326106997,-0.0489160115844941,0.017215846932280107
24,-0.03261179880641278,-0.0690110662089522,0.0037874685961266294
