h,coef,ci_low,ci_high
0,0.09957805804076567,0.06730053262031564,0.13185558346121568
1,0.20123792776265614,0.1380618453727433,0.264414010152569
2,0.24381342719527713,0.12454275370989942,0.36308410068065483
3,0.2163833694664761,0.07462934249907377,0.35813739643387843
4,0.1558015318252741,0.0037888136271010675,0.3078142500234471
5,0.12516802610616146,-0.013461075397552924,0.26379712760987584
6,0.07560288553823889,-0.07129737711413962,0.2225031481906174
7,0.034284737576544516,-0.15779426826865686,0.2263637434217459
8,0.08742548712933207,-0.11263904140200895,0.2874900156606731
9,0.12295118014382665,-0.07293824506354275,0.31884060535119607
10,0.18319466767045472,0.0002553472652700173,0.36613398807563946
11,0.1354135747394487,-0.05140191894229182,0.32222906842118926
12,0.09609657568703651,-0.09087576089932244,0.2830689122733955
13,0.06641941464700157,-0.1190900399072563,0.25192886920125945
14,0.06858132181972709,-0.11727740411142426,0.2544400477508785
15,0.10243152301471395,-0.10132114745968301,0.3061841934891109
16,0.0992659004703436,-0.09099654090323987,0.28952834184392706
17,0.1274207113613982,-0.07239009336685814,0.32723151608965456
18,0.09406787734272701,-0.09878302469555675,0.28691877938101074
19,-0.04962222151223688,-0.2383505785743456,0.13910613554987183
20,-0.1400738560961902,-0.3480497071018721,0.06790199490949173
21,-0.17945625446185037,-0.38536198685607553,0.026449477932374788
22,-0.1219391562126711,-0.2896020682627214,0.04572375583737917
23,-0.12825748083725247,-0.26605264669231354,0.009537685017808606
24,-0.18045812948464254,-0.2963585923633984,-0.06455766660588669
