h,coef,se,t,pvalor,ci_low,ci_high
0,0.6994989047771977,0.1488759111931476,4.698536513873535,2.620323471309725e-06,0.4545980308644698,0.9443997786899255
1,1.3966997156578076,0.2613139021992098,5.344911632726868,9.046117499613188e-08,0.9668383465401075,1.8265610847755078
2,1.901762065955562,0.40020863393752765,4.751926631978725,2.014874886132137e-06,1.243418863128329,2.560105268782795
3,1.860792618716166,0.4709835201181448,3.9508656656381347,7.786902499926848e-05,1.0860247281218178,2.6355605093105146
4,1.9264372969986698,0.49391534757379946,3.900339008418496,9.605808528438514e-05,1.1139465502397696,2.73892804375757
5,1.8987290756516333,0.559146799042944,3.395761325829938,0.0006843800846235379,0.9789325912259905,2.8185255600772763
6,1.9928170989155487,0.6183480634539904,3.2228080213981762,0.0012694060102026086,0.9756345345337345,3.009999663297363
7,2.0633311559402796,0.6119905344580593,3.3715082828322456,0.0007475779071164129,1.056606726756772,3.070055585123787
8,2.1940987625033204,0.5838016847158674,3.7582946742799734,0.00017107533914607992,1.2337449911457186,3.154452533860922
9,2.234853788207649,0.5879612307106264,3.8010223658905913,0.00014410029287479072,1.2676575636886687,3.2020500127266294
10,2.2849956599655754,0.6561564044897554,3.4823948136914833,0.0004969504114821265,1.2056183745799278,3.364372945351223
11,1.9631671591593693,0.6789200880156021,2.8916026993654875,0.0038328230023593228,0.8463436143737038,3.079990703945035
12,1.8454110855259995,0.6825012136698394,2.7038942181555137,0.006853210219529519,0.7226965890391137,2.9681255820128856
