Variavel Alvo,BRL Coef (12m),BRL P-Value (12m),BRL Signif (12m),USD Coef (12m),USD P-Value (12m),USD Signif (12m)
Preço Gasolina na Refinaria (dlog %),1.088890586695005,0.15307769398650178,Nao,1.1328639616789984,0.15307769398652032,Nao
Preço Gasolina ao Consumidor (dlog %),0.6744030895794378,0.35806074691739587,Nao,0.701637947067247,0.3580607469173983,Nao
Preço Diesel ao Consumidor (dlog %),1.8454110855259995,0.006853210219529519,Sim,1.919935518609578,0.006853210219531029,Sim
Preço Etanol ao Consumidor (dlog %),1.2458874671246465,0.2132097616152735,Nao,1.2962009489832982,0.21320976161532246,Nao
IPCA Geral Mensal (%),-0.0128219297907437,0.9025725825602107,Nao,-0.013339726099754708,0.9025725825602146,Nao
IPCA Transportes Mensal (%),0.3414470242652117,0.2437810372479824,Nao,0.35523590096104984,0.24378103724798994,Nao
