h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs,arquivo,h_ref,pre_significativo_10pct,pos_significativo_10pct,diferenca_regimes_10pct
0.0,0.0988225586754204,0.0271667196388343,0.0002751550048095,0.054133304869538,0.1435118124813029,0.0597156528787371,0.0378476489445662,0.1146137960446158,-0.0025437296350742,0.1219750353925485,-0.0391069057966833,0.3206806978283855,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,0,True,False,False
3.0,0.2994006071464304,0.0904759399756896,0.0009357174277121,0.150567685886421,0.4482335284064399,0.0767827406621684,0.0857596075619509,0.3706132551857913,-0.0642918137772407,0.2178572951015777,-0.2226178664842619,0.0470740375818474,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,3,True,False,True
6.0,0.3668436411783939,0.1534200980319475,0.0167977249712236,0.1144675799158403,0.6192197024409476,0.0605695171185578,0.1432277457774989,0.672375846690315,-0.1750401246854279,0.2961791589225436,-0.3062741240598361,0.1311873122972202,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,6,True,False,False
12.0,0.3127261589873009,0.2526593479872769,0.2158131024098577,-0.1028984684517696,0.7283507864263715,0.0702760189802002,0.1864541351192207,0.7062421202077789,-0.2364410332909178,0.3769930712513183,-0.2424501400071007,0.4556553665773444,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,12,False,False,False
18.0,0.2675618604335197,0.3684048112127894,0.4676724378338367,-0.3384640540115189,0.8735877748785583,-0.0509417534885083,0.1774741945928176,0.7740835881527731,-0.3428868035936933,0.2410032966166766,-0.318503613922028,0.4467656719386882,251.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,18,False,False,False
24.0,0.3487152809327921,0.5110410896450955,0.4950097550680444,-0.49194731153339,1.1893778733989742,-0.2032291878333728,0.176443081075912,0.2493984993707312,-0.4934780562032481,0.0870196805365025,-0.5519444687661649,0.3316097853427208,245.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_geral.csv,24,False,False,False
0.0,0.3363591026573392,0.0900003222759867,0.0001859995601015,0.1883085725133411,0.4844096328013374,0.3198640600859592,0.1061060760661142,0.0025734488736335,0.1453195649572013,0.494408555214717,-0.01649504257138,0.8901527409670117,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,0,True,True,False
3.0,0.7657089728770896,0.2661263907087675,0.0040117285349424,0.327931060161167,1.203486885593012,0.1931223073533086,0.2801655125108668,0.4906250221091086,-0.2677499607270673,0.6539945754336844,-0.572586665523781,0.122376761207883,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,3,True,False,False
6.0,0.8893279572394133,0.4723217242853503,0.0597158203124108,0.1123587207900119,1.6662971936888145,-0.1993293147786656,0.4355075929230497,0.6471721300659282,-0.9157393051370823,0.5170806755797511,-1.088657272018079,0.1031318056897752,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,6,True,False,False
12.0,0.8164384510671485,0.8539844563426928,0.3390548943713176,-0.5883659796165812,2.2212428817508783,0.0817156313755013,0.5041810825380986,0.871246039505134,-0.7476622493996709,0.9110935121506736,-0.7347228196916472,0.5055942160319872,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,12,False,False,False
18.0,0.7235637852793252,1.0200668347616966,0.4781198511695221,-0.9544461579036656,2.401573728462316,-0.1518857551601341,0.3300879776714125,0.645417749851424,-0.6948804784296078,0.3911089681093395,-0.8754495404394593,0.4579698772570777,251.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,18,False,False,False
24.0,0.6086122078224152,0.8736774302932117,0.4860470585268829,-0.8285871650099179,2.0458115806547483,-0.3512115025709625,0.35037024675285,0.3161499361298873,-0.9275705584794008,0.2251475533374757,-0.9598237103933778,0.3167693631278534,245.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_diesel_para_ipca_transporte.csv,24,False,False,False
0.0,0.0787002346870224,0.0174007338112666,6.102365413259498e-06,0.0500760275674888,0.107324441806556,0.1566564075517676,0.0316767871532258,7.596274466792376e-07,0.104548092684711,0.2087647224188241,0.0779561728647451,0.0182722935243676,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,0,True,True,True
3.0,0.1319658770916214,0.0632658339940708,0.0369881492146105,0.0278935801713749,0.236038174011868,0.2262641788788024,0.1327598870930251,0.088322940609047,0.0078741646107761,0.4446541931468287,0.0942983017871809,0.5129309949060965,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,3,True,True,False
6.0,0.1277687582935368,0.0963994967420629,0.1850355414092815,-0.0308084138471566,0.2863459304342304,0.3365390411835081,0.1673734916720903,0.0443564206200709,0.0612096473829195,0.6118684349840966,0.2087702828899712,0.2935178781873965,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,6,False,True,False
12.0,-0.0050852728369617,0.1383350140731553,0.9706759198863284,-0.2326463709873021,0.2224758253133787,0.5118252265660125,0.2070712163475373,0.0134459048508373,0.1711930756743136,0.8524573774577113,0.5169104994029742,0.0526574357140927,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,12,False,True,True
18.0,0.0103680392703202,0.196640289122348,0.957950290149241,-0.3131052363359424,0.3338413148765828,0.2648303896612114,0.2706671094978655,0.3278588295309181,-0.1804170054627773,0.7100777847852002,0.2544623503908912,0.4849290945074346,251.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,18,False,False,False
24.0,-0.0833859322546804,0.235208786776099,0.7229501319865439,-0.4703043865013634,0.3035325219920024,0.296275673190491,0.2478787298801077,0.2319915410419385,-0.1114848374622861,0.7040361838432683,0.3796616054451714,0.3242079782219539,245.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_geral.csv,24,False,False,False
0.0,0.3582147829615878,0.0399457991410648,3.0326335604810355e-19,0.2925039433745361,0.4239256225486394,0.8015717875377828,0.0973074106830543,1.7581624574562112e-16,0.6415010969641585,0.9616424781114072,0.443357004576195,6.119065856448255e-06,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_transporte.csv,0,True,True,True
3.0,0.4714908578059729,0.1566259800211988,0.0026099157687177,0.2138411206711009,0.7291405949408449,1.2144580439369257,0.431241006841125,0.004859641449228,0.5050665876832748,1.923849500190576,0.7429671861309526,0.1206891854148667,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_transporte.csv,3,True,True,False
6.0,0.6460817790725868,0.2356469388418303,0.0061115373858752,0.2584425646777759,1.0337209934673977,1.4634224195022,0.4653308131400583,0.0016613928389283,0.6979532318868038,2.228891607117596,0.8173406404296131,0.1530057030057417,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_etanol_para_ipca_transporte.csv,6,True,True,False
