h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.07870023468702246,0.01740073381126665,6.102365413259498e-06,0.05007602756748882,0.10732444180655609,0.1566564075517676,0.031676787153225874,7.596274466792376e-07,0.10454809268471105,0.20876472241882416,0.07795617286474514,0.01827229352436768,269
1,0.14912086754832796,0.0350785675090854,2.1276732164912195e-05,0.09141662399588248,0.20682511110077345,0.2255164568500917,0.06538370234212908,0.0005624096514354108,0.11796026649728936,0.33307264720289403,0.07639558930176374,0.2865159151070893,268
2,0.15080195679112976,0.052382337424829076,0.003991024007707371,0.06463301172728593,0.2369709018549736,0.2248512146173849,0.1037840163147224,0.030270688067959274,0.054126507779666544,0.39557592145510323,0.07404925782625513,0.5186772492883283,267
3,0.13196587709162147,0.06326583399407085,0.03698814921461053,0.02789358017137493,0.236038174011868,0.22626417887880246,0.1327598870930251,0.08832294060904701,0.007874164610776141,0.44465419314682875,0.09429830178718099,0.5129309949060965,266
4,0.13531879117688272,0.0734567358808266,0.06545228576097668,0.014482460652922968,0.2561551217008425,0.27678881182386833,0.14987994289325146,0.064785289949024,0.030236305764469673,0.523341317883267,0.1414700206469856,0.38106851258199004,265
5,0.14243190474037337,0.0869338992141942,0.1013397077421183,-0.0005743594669760932,0.28543816894772284,0.31363899190311617,0.1575435959221167,0.04650204085655284,0.05447977661123421,0.5727982071949982,0.1712070871627428,0.33848272234201826,264
6,0.12776875829353684,0.09639949674206293,0.18503554140928158,-0.030808413847156685,0.2863459304342304,0.3365390411835081,0.1673734916720903,0.04435642062007098,0.06120964738291951,0.6118684349840966,0.20877028288997124,0.2935178781873965,263
7,0.11573252694027694,0.09916769451844912,0.24319478343368317,-0.047398330542571865,0.27886338442312575,0.39225887300923107,0.17023200951431297,0.02120803222521117,0.11222721735818625,0.6722905286602758,0.2765263460689541,0.18985997873791619,262
8,0.085556051488735,0.10332953494835798,0.40767490343896895,-0.08442103350131387,0.2555331364787839,0.3745135877714745,0.18216633725809217,0.039793312525952,0.07484996298191288,0.6741772125610361,0.28895753628273946,0.19816861210229886,261
9,0.05889535983083929,0.10947708805311732,0.5905979444803509,-0.1211944500165387,0.23898516967821729,0.41610773885986796,0.18507999336234188,0.02455968702050919,0.11165114977881557,0.7205643279409204,0.3572123790290287,0.11228306077021082,260
10,0.05239276905189562,0.11577171897211959,0.650871082438832,-0.1380517086572411,0.24283724676103235,0.4852247552209872,0.19476468909479824,0.012726283322996234,0.1648368416600441,0.8056126687819303,0.4328319861690916,0.05969065188142278,259
11,0.029876061478435176,0.12361629754897258,0.809025152225614,-0.1734727479896247,0.23322487094649508,0.5010998573479184,0.1974315933545556,0.011145818025977403,0.17632488627967446,0.8258748284161623,0.4712237958694832,0.047279957508320744,258
12,-0.005085272836961711,0.1383350140731553,0.9706759198863283,-0.23264637098730218,0.22247582531337873,0.5118252265660125,0.2070712163475373,0.013445904850837383,0.17119307567431363,0.8524573774577113,0.5169104994029742,0.05265743571409273,257
13,-0.014952659331554145,0.16139613119101484,0.926185027737014,-0.28044929514077355,0.25054397647766524,0.49444392480242966,0.22843373567253528,0.03042629732162109,0.11867042962110913,0.8702174199837502,0.5093965841339838,0.09440088711282647,256
14,-0.033062111313989354,0.17430408018946977,0.849559384205499,-0.31979232322566714,0.25366810059768846,0.42678269912673655,0.21980016144862047,0.052175233214720125,0.06521143354375586,0.7883539647097173,0.4598448104407259,0.14375014148069312,255
15,-0.010990385628656452,0.1783450017490793,0.9508620262873134,-0.30436791350589193,0.282387142248579,0.4095406310227582,0.23838834758112545,0.08580468788112068,0.017391799251806783,0.8016894627937096,0.4205310166514146,0.21224087847605486,254
16,0.004242785985672139,0.18397500051102073,0.9816010143991166,-0.29839608985495697,0.3068816618263012,0.3397829504646271,0.25131914715095854,0.17637599816761673,-0.07363704659869974,0.7532029475279539,0.33554016447895496,0.3385832217515239,253
17,0.01932326514969465,0.187905647090149,0.9180939775019239,-0.2897815243136005,0.32842805461298974,0.29837025133264794,0.2633656197266481,0.2572509225441497,-0.13486619311768822,0.7316066957829841,0.2790469861829533,0.4378715655892952,252
18,0.010368039270320217,0.19664028912234807,0.957950290149241,-0.3131052363359424,0.3338413148765828,0.2648303896612114,0.2706671094978655,0.32785882953091816,-0.18041700546277734,0.7100777847852002,0.2544623503908912,0.4849290945074346,251
19,-0.012055822450516701,0.20460089606098825,0.9530129563764745,-0.34862429647084237,0.324512651569809,0.2700567119584151,0.2606079586495027,0.30008245691113544,-0.15864338002001688,0.698756803936847,0.2821125344089318,0.43342799818983246,250
20,-0.04352496522107461,0.20282411856168753,0.8300833866437084,-0.3771706402550506,0.29012070981290133,0.30221789995612147,0.2553680406516789,0.23662683045900978,-0.11786252691589033,0.7222983268281333,0.3457428651771961,0.33675593108337654,249
21,-0.03096484726095513,0.21252932602460228,0.8841607307306376,-0.38057558857142587,0.31864589404951565,0.3552760966407415,0.24716111447217703,0.1505966585775354,-0.0513039366659897,0.7618561299474726,0.3862409439016966,0.28671151045614174,248
22,-0.045040738671566424,0.22814374127045184,0.8434968176275666,-0.4203371930614597,0.33025571571832685,0.3496586086242972,0.24901360396886543,0.16026682658615177,-0.05996876990448641,0.7592859871530808,0.39469934729586365,0.2993778970709172,247
23,-0.061140169116932805,0.22785702755512802,0.7884477044390643,-0.4359649794451184,0.3136846412112528,0.33510764627622286,0.24524391915025917,0.17180531983649927,-0.06831860072595347,0.7385338932783991,0.3962478153931557,0.29637319012423613,246
24,-0.08338593225468047,0.23520878677609902,0.7229501319865439,-0.4703043865013634,0.3035325219920024,0.29627567319049103,0.2478787298801077,0.23199154104193853,-0.11148483746228616,0.7040361838432683,0.37966160544517147,0.3242079782219539,245
