modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,0,3,0.7194414827522718,0.17515778195914145,4.107390917521974,4.00153655697455e-05,0.4313325698080029,1.0075503956965408,True,269,0.45064506688830586,3
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,1,3,1.478310993746707,0.3260962174494296,4.533358299306126,5.805321610985459e-06,0.9419304477398567,2.0146915397535574,True,268,0.4140414436598121,3
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,2,3,1.8954998585653973,0.44385901196428995,4.270499882782366,1.950353235646851e-05,1.1654167528808381,2.6255829642499564,True,267,0.37876023897245703,3
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,3,3,1.8412949759012296,0.5062434825603378,3.6371727031207173,0.00027564711905192496,1.0085985474913137,2.6739914043111455,True,266,0.3512540415190383,4
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,4,3,1.9671416865754423,0.5522663051489779,3.561944062556544,0.0003681188273905178,1.0587444515080575,2.875538921642827,True,265,0.3563514681223995,5
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,5,3,1.9577301588756164,0.6683503860253556,2.92919731896638,0.0033983861394757398,0.8583916023473939,3.057068715403839,True,264,0.363497556929671,6
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,6,3,2.060321773524601,0.7571049119362326,2.721316083203713,0.006502255569813098,0.8149950131435137,3.3056485339056882,True,263,0.3791874827865076,7
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,7,3,2.0605574524503005,0.7502350498011556,2.7465491688190737,0.0060225857797349125,0.8265306097187513,3.29458429518185,True,262,0.4030284951251226,8
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,8,3,2.182407399876423,0.693935918166753,3.1449696474019233,0.0016610406244947917,1.0409843880079392,3.3238304117449067,True,261,0.4231746428430311,9
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,9,3,2.184944658373512,0.7164212242426646,3.0498044787593175,0.0022899038851555975,1.006536609252951,3.363352707494073,True,260,0.43287793171519384,10
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,10,3,2.3517672285173674,0.818610477495087,2.872877019255452,0.004067524206077033,1.005272815549097,3.6982616414856375,True,259,0.44099251705121034,11
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,11,3,2.107483039930411,0.8241738237850583,2.5570856281890793,0.010555323109725512,0.7518377366390945,3.4631283432217277,True,258,0.4455179244197701,12
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,12,3,2.014654484751458,0.7622355562432619,2.6430864688087254,0.008215405173883195,0.7608885654733557,3.26842040402956,True,257,0.45690078171246384,13
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,13,3,1.791652698883992,0.7199292829744833,2.488650956773895,0.012822878714653596,0.6074744066348403,2.9758309911331438,True,256,0.4704078574289169,14
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,14,3,1.7406749039373073,0.7178369932762984,2.4248888260726824,0.015313075321007785,0.5599381219868484,2.921411685887766,True,255,0.4901421381521023,15
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,15,3,2.0167634859329517,0.7730228863658087,2.6089311474519294,0.009082551509161929,0.7452539875776556,3.288272984288248,True,254,0.5065507548318469,16
principal_petroleo_brl_para_dln_diesel,dln_petroleo_brl,dln_diesel,16,3,2.3340143361426136,0.7585463470315156,3.0769567941056097,0.0020912561028567644,1.0863166260170352,3.581712046268192,True,253,0.515218030379573,17
