modelo,impulso_instrumentado,instrumento,resposta,h,lags,coef_iv,se_iv,pvalor_iv,ci_low,ci_high,significativo_90,first_stage_f,first_stage_pvalor,nobs,hac_maxlags
lpiv_petroleo_brl_para_dln_diesel,dln_petroleo_brl,oil_supply_news_shock_std,dln_diesel,3,3,2.248505198178843,0.7815709696892298,0.0040159685727028105,0.9629353539655341,3.5340750423921516,True,73.58915508152062,1.3894018276101941e-15,266,4
lpiv_petroleo_brl_para_dln_diesel,dln_petroleo_brl,oil_supply_news_shock_std,dln_diesel,6,3,1.8640578500709772,1.1714677632550445,0.11156104977187487,-0.06283514917581123,3.790950849317766,False,73.15259791937531,1.734180048129079e-15,263,7
lpiv_petroleo_brl_para_dln_diesel,dln_petroleo_brl,oil_supply_news_shock_std,dln_diesel,12,3,2.274453450765792,1.397559976263878,0.10364239980803425,-0.024328145074060892,4.573235046605645,False,70.85025179108294,4.680053169010656e-15,257,13
lpiv_petroleo_brl_para_dln_diesel,dln_petroleo_brl,oil_supply_news_shock_std,dln_diesel,24,3,0.6878781143755721,1.4671157900086964,0.6391666860289378,-1.7253126139780068,3.101068842729151,False,66.91110222944837,2.6424416166079274e-14,245,25
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,oil_supply_news_shock_std,dln_gasolina_refinaria,3,3,0.1340188006292613,0.09735067811466225,0.16861733996200234,-0.026108815353826198,0.2941464166123488,False,75.0495718166815,7.934474361613139e-16,266,4
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,oil_supply_news_shock_std,dln_gasolina_refinaria,6,3,0.13678739238852422,0.19565427807613903,0.48447201507436755,-0.185035256533585,0.45861004131063343,False,74.4123192518241,1.0702769982273706e-15,263,7
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,oil_supply_news_shock_std,dln_gasolina_refinaria,12,3,0.021740835539204806,0.3364355751597483,0.9484756877797378,-0.5316464404978118,0.5751281115762215,False,71.77441762772999,3.281986121231878e-15,257,13
lpiv_petroleo_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,oil_supply_news_shock_std,dln_gasolina_refinaria,24,3,-0.3101378452513409,0.5495853132046208,0.572541496707933,-1.2141252409952221,0.5938495504925404,False,66.08440212493403,3.634802486113534e-14,245,25
lpiv_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_transporte_mensal,3,3,0.4820250714196187,0.2860417831939807,0.09195844783607443,0.011528206873332836,0.9525219359659045,True,74.47540501436492,9.886226606573426e-16,266,4
lpiv_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_transporte_mensal,6,3,0.3029745300045398,0.35572110059181533,0.3943699009945103,-0.28213461248707716,0.8880836724961567,False,73.91812896972849,1.2930414907678582e-15,263,7
lpiv_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_transporte_mensal,12,3,-0.040215336884409036,0.44340476018905844,0.9277336136841472,-0.7695512648889296,0.6891205911201115,False,71.71165251658539,3.361919709649843e-15,257,13
lpiv_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_transporte_mensal,24,3,-0.010960256123826617,0.47220882961399485,0.9814822734046229,-0.7876746621929158,0.7657541499452625,False,67.56330997641624,2.0561990994705444e-14,245,25
lpiv_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_geral_mensal,3,3,0.13450304155435422,0.1154101749732559,0.2438430118862831,-0.05532980333750978,0.32433588644621825,False,74.63988389762898,9.282187959425915e-16,266,4
lpiv_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_geral_mensal,6,3,0.04905191324933714,0.1835161582735389,0.7892463919525092,-0.2528053052910938,0.350909131789768,False,74.17978572409488,1.1698150156968697e-15,263,7
lpiv_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_geral_mensal,12,3,-0.07327723078427237,0.282405358895096,0.7952684947984316,-0.5377927096334032,0.3912382480648585,False,71.62921227610549,3.4699040855267748e-15,257,13
lpiv_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,oil_supply_news_shock_std,ipca_geral_mensal,24,3,-0.07085528678148811,0.2832080914393933,0.8024419080439977,-0.5366911431675784,0.39498056960460215,False,67.47580936165028,2.1264980654911483e-14,245,25
